#time   deltaF       REWdeltaF
0       0            nan
1000    5.952504416  nan
2000    3.781151110  nan
3000    0.000000000  nan
4000    0.000000000  nan
5000    4.524968990  nan
6000    7.310976981  nan
7000    9.467517672  nan
8000    5.498523733  nan
9000    4.776925927  nan
10000   6.512244034  nan
11000   7.956554447  nan
12000   5.495680738  nan
13000   3.618129176  nan
14000   2.153633987  nan
15000   0.944968380  nan
16000   0.119828662  nan
17000   0.103273193  nan
18000   1.550022523  nan
19000   2.690622928  nan
20000   3.713423406  nan
21000   4.565744336  inf
22000   5.338446396  inf
23000   6.103172759  inf
24000   5.079607400  6.324166404
25000   4.048616836  5.156143367
26000   3.190640302  4.329806011
27000   2.451910599  3.375281043
28000   2.604337397  3.290577908
29000   3.308057951  3.544423181
30000   3.946449817  3.745545586
31000   4.513396305  3.905543257
32000   5.074884555  4.046482758
33000   4.540067637  4.023185048
34000   3.909501291  3.900252552
35000   3.244559035  3.689894214
36000   3.599007643  3.742961504
37000   4.129997201  3.834138425
38000   4.645500162  3.938129201
39000   5.096010584  4.027259220
40000   5.001891113  4.059836192
41000   4.545157561  4.015062456
42000   3.913591747  3.907968715
43000   3.475879006  3.767377933
44000   3.197497270  3.697633231
45000   3.663766012  3.777203845
46000   3.470537361  3.768215639
47000   2.990829130  3.654423679
48000   2.508915092  3.434673632
49000   2.132651197  3.296004104
50000   2.487481967  3.364378542
51000   2.750349149  3.395898192
52000   2.409066574  3.319180536
53000   2.027993576  3.149029056
54000   2.114294164  3.074282336
55000   2.522228604  3.129878144
56000   2.550802820  3.110524610
57000   2.217194140  3.029477536
58000   1.849174188  2.856022738
59000   2.216123942  2.918269578
60000   2.572485984  2.970213120
61000   2.899925922  3.019669654
62000   3.239626415  3.085297972
63000   3.507270694  3.115575884
64000   3.813925312  3.169987173
65000   4.135734216  3.219572729
66000   4.412151172  3.265963035
67000   4.658646617  3.298592447
68000   4.873816917  3.316202054
69000   5.125306218  3.353720649
70000   5.396122333  3.395594775
71000   5.355183334  3.406011233
72000   5.017776120  3.397607601
73000   4.728690164  3.390161710
74000   4.446627631  3.379052242
75000   4.568707851  3.398781098
76000   4.780921894  3.421629514
77000   5.010562987  3.448283103
78000   4.769713824  3.440334358
79000   4.413423662  3.423494812
80000   4.151915458  3.411750324
81000   3.898113021  3.390093077
82000   3.996279922  3.404194528
83000   3.742393221  3.389499300
84000   3.547037750  3.371192880
85000   3.301696494  3.344085659
86000   3.043388168  3.291663633
87000   2.830949668  3.267183845
88000   2.612821490  3.225348926
89000   2.359207745  3.153058660
90000   2.121871127  3.092181138
91000   2.086835171  3.066565270
92000   2.159209357  3.053180514
93000   2.102343007  3.015012922
94000   2.327552403  3.046817635
95000   2.539471853  3.065490427
96000   2.775159560  3.101197980
97000   2.993591782  3.129404305
98000   3.197315940  3.142712626
99000   3.395103561  3.167212766
100000  3.585126170  3.192140840
101000  3.775516826  3.223550776
102000  3.960971899  3.243427637
103000  3.850161779  3.246650080
104000  3.658259534  3.227089413
105000  3.832572194  3.246460852
106000  4.012894046  3.264102414
107000  4.184908688  3.292537742
108000  3.985925576  3.273082529
109000  3.741841087  3.253684205
110000  3.558660666  3.236522755
111000  3.734718752  3.249767672
112000  3.900612594  3.266374598
113000  4.078795913  3.288672396
114000  4.246523127  3.307109668
115000  4.056968138  3.298258317
116000  3.893538931  3.287261551
117000  3.712716463  3.273278821
118000  3.529107664  3.259393163
119000  3.369426012  3.247699030
120000  3.219415518  3.235357920
121000  3.394637708  3.257086446
122000  3.306508218  3.243780296
123000  3.153313660  3.223312968
124000  2.995478031  3.197001277
125000  2.820886047  3.175622024
126000  2.660300394  3.163568114
127000  2.519795491  3.141529614
128000  2.359334987  3.104486854
129000  2.211708494  3.050836211
130000  2.064019692  3.006996049
131000  2.029901055  2.993539820
132000  2.089393101  2.995262292
133000  1.936978664  2.958472299
134000  1.775598575  2.941821454
135000  1.639161985  2.884954746
136000  1.494151600  2.842874947
137000  1.376535500  2.822829556
138000  1.289558656  2.766294971
139000  1.463126928  2.784850087
140000  1.617715026  2.805676048
141000  1.775386997  2.814686996
142000  1.932246050  2.830649482
143000  2.081984028  2.848501352
144000  2.115784370  2.835366452
145000  1.982068164  2.815575811
146000  1.879607822  2.800533613
147000  1.949452453  2.795845397
148000  2.095267582  2.805462277
149000  2.240152107  2.816823641
150000  2.373964422  2.840828384
151000  2.519574971  2.856980462
152000  2.658924771  2.864488647
153000  2.786595272  2.870181651
154000  2.923060757  2.885059474
155000  3.053364684  2.896954141
156000  3.174953847  2.905968536
157000  3.307904043  2.920134012
158000  3.425733932  2.931705975
159000  3.548722471  2.948273510
160000  3.659744790  2.960936025
161000  3.774501398  2.967750350
162000  3.719108235  2.965249477
163000  3.592869946  2.958037222
164000  3.461799577  2.951509402
165000  3.320816906  2.940127797
166000  3.180992837  2.932050853
167000  3.245102245  2.938313837
168000  3.357005557  2.953892128
169000  3.464077932  2.965204074
170000  3.573007188  2.976498991
171000  3.688650683  2.983653877
172000  3.762027813  2.998132386
173000  3.646571713  2.989246285
174000  3.514077144  2.978629165
