#time   deltaF       REWdeltaF
0       0            nan
1000    1.272387321  nan
2000    1.810267003  nan
3000    2.218866850  nan
4000    2.559766760  nan
5000    2.856426700  nan
6000    3.122086657  nan
7000    3.364326622  nan
8000    3.588736593  nan
9000    3.798236566  nan
10000   3.994816541  nan
11000   4.180486517  nan
12000   4.342406494  nan
13000   4.457316477  nan
14000   4.535376464  nan
15000   4.584596456  nan
16000   4.610936451  nan
17000   4.619166450  nan
18000   4.612676451  nan
19000   4.602736453  nan
20000   4.602806453  nan
21000   4.598436453  0.000000000
22000   4.584426456  0.000000000
23000   4.562156460  0.000000000
24000   4.532956464  0.000000000
25000   4.498176470  0.000000000
26000   4.458686476  0.000000000
27000   4.422606482  2.622183396
28000   4.395316486  3.110011940
29000   4.375836489  3.458803676
30000   4.363196491  3.643844630
31000   4.356636492  3.895945613
32000   4.355546492  4.048484643
33000   4.359366491  4.233873305
34000   4.367576490  4.352010837
35000   4.379726488  4.453503823
36000   4.395366486  4.539347357
37000   4.413836483  4.534978846
38000   4.429046481  4.446442638
39000   4.439216479  4.302644479
40000   4.447846478  4.351044862
41000   4.459426476  4.406637944
42000   4.473706474  4.465261863
43000   4.490446471  4.544498278
44000   4.509476468  4.606864028
45000   4.530566465  4.667462776
46000   4.553586461  4.706126541
47000   4.578346457  4.769586928
48000   4.604676452  4.837970996
49000   4.631596448  4.776524682
50000   4.654906443  4.665628801
51000   4.674466440  4.599612875
52000   4.690566437  4.532451551
53000   4.703296435  4.465039471
54000   4.712886433  4.407518631
55000   4.719636432  4.353561268
56000   4.723546431  4.311643226
57000   4.726536430  4.361902833
58000   4.731396429  4.388976263
59000   4.738066428  4.439447020
60000   4.746396427  4.464196429
61000   4.756276425  4.485931798
62000   4.767656422  4.514504327
63000   4.780436420  4.559477260
64000   4.794516417  4.602953153
65000   4.807746415  4.569712988
66000   4.818616412  4.511109001
67000   4.827156411  4.448998677
68000   4.833466409  4.384342330
69000   4.837686409  4.327186723
70000   4.839956408  4.270397545
71000   4.841446408  4.309321061
72000   4.844286407  4.343405212
73000   4.848466406  4.378644781
74000   4.852956405  4.380646153
75000   4.858346404  4.407127307
76000   4.863506403  4.374106157
77000   4.866896402  4.358075352
78000   4.868786402  4.344829759
79000   4.869296402  4.311595542
80000   4.868276402  4.286733744
81000   4.865826403  4.248241794
82000   4.862006403  4.215624892
83000   4.856866405  4.172848413
84000   4.850456406  4.137976860
85000   4.842976407  4.134906904
86000   4.836186409  4.167178176
87000   4.830666410  4.201050597
88000   4.826336411  4.231468668
89000   4.823176411  4.258917955
90000   4.821136412  4.289341943
91000   4.818926412  4.269820382
92000   4.815516413  4.235985293
93000   4.810966414  4.221608636
94000   4.805326415  4.177101231
95000   4.798666416  4.145860632
96000   4.791026418  4.120949374
97000   4.782436420  4.094722470
98000   4.772946421  4.070733459
99000   4.762576423  4.045193596
100000  4.751376426  4.027238968
101000  4.739366428  3.991810291
102000  4.726576430  3.965816730
103000  4.713036433  3.948599589
104000  4.698766436  3.938296446
105000  4.683816438  3.917705089
106000  4.668186441  3.885501750
107000  4.651916444  3.855510178
108000  4.635026447  3.830781295
109000  4.617556450  3.820857982
110000  4.599536453  3.786380052
111000  4.580966456  3.768537785
112000  4.561876460  3.753928067
113000  4.542276463  3.724813483
114000  4.522196466  3.699160514
115000  4.501646469  3.675271379
116000  4.480656473  3.640524725
117000  4.459226476  3.624785316
118000  4.437376480  3.599688708
119000  4.415136483  3.587102558
120000  4.392496487  3.566575745
121000  4.369476490  3.546005803
122000  4.346106493  3.528583543
123000  4.322396497  3.514263586
124000  4.298346500  3.488654244
125000  4.273986504  3.466349962
126000  4.249316507  3.439234375
127000  4.224356511  3.424753113
128000  4.199116514  3.410197368
129000  4.173606518  3.385885810
130000  4.147826521  3.371205449
131000  4.121786525  3.340329198
132000  4.095506528  3.319128323
133000  4.068986532  3.285058084
134000  4.042246535  3.265608746
135000  4.015826539  3.280566505
136000  3.990456542  3.302236805
137000  3.966116545  3.325378976
138000  3.942686548  3.321777576
139000  3.919236551  3.300789471
140000  3.895536554  3.288500492
141000  3.871616557  3.267406722
142000  3.847476560  3.244438162
143000  3.823126563  3.226886645
144000  3.799026566  3.250485330
145000  3.775646569  3.244012302
146000  3.752146572  3.216856234
147000  3.728456575  3.202294729
148000  3.704556578  3.184586615
149000  3.681126581  3.204802443
150000  3.658586584  3.230351475
151000  3.636736587  3.232071947
152000  3.614826589  3.224060868
153000  3.593546592  3.248129009
154000  3.573106595  3.264550206
155000  3.553496597  3.279039642
156000  3.534676600  3.298505308
157000  3.516626602  3.320932477
158000  3.499266604  3.316122975
159000  3.481846606  3.280583415
160000  3.464186609  3.247861544
161000  3.446336611  3.238199951
162000  3.428996613  3.256711362
163000  3.412386616  3.282976042
164000  3.396476618  3.311986850
165000  3.381256620  3.329105804
166000  3.366716622  3.346097511
167000  3.352826624  3.365679998
168000  3.339586625  3.374665406
169000  3.326986627  3.395061039
170000  3.314996629  3.423739588
171000  3.303606630  3.434962531
172000  3.292636632  3.421019388
173000  3.281776633  3.441818840
174000  3.271486635  3.452414859
175000  3.261756636  3.472027155
176000  3.252586637  3.487396261
177000  3.243956639  3.500315088
178000  3.235856640  3.514324941
179000  3.228266641  3.524426155
180000  3.221196642  3.536846951
181000  3.214606643  3.547898282
182000  3.208516644  3.564835799
183000  3.202906645  3.581423808
184000  3.197766645  3.598974613
185000  3.193096646  3.611639896
186000  3.188866647  3.618369137
187000  3.185076647  3.633115501
188000  3.181726648  3.644257359
189000  3.178796648  3.659473104
190000  3.176286648  3.672276505
191000  3.174186649  3.684024327
192000  3.172476649  3.697680491
193000  3.171166649  3.705834485
194000  3.170246649  3.713859526
195000  3.169696649  3.730252341
196000  3.169526649  3.742279995
197000  3.169706649  3.753322181
198000  3.170246649  3.761321008
199000  3.171146649  3.770210449
200000  3.172386649  3.783725926
201000  3.173956649  3.796288143
202000  3.175866649  3.804680267
203000  3.178096648  3.813092706
204000  3.180636648  3.824340289
205000  3.183476647  3.834165808
206000  3.186636647  3.842241593
207000  3.189976646  3.821219531
208000  3.193006646  3.796964279
209000  3.195706646  3.754997848
210000  3.198066645  3.730217729
211000  3.200106645  3.701881677
212000  3.201826645  3.682680894
213000  3.203226645  3.668008507
214000  3.204456644  3.667178868
215000  3.205936644  3.680409583
216000  3.207716644  3.694391807
217000  3.209786644  3.702418851
218000  3.212146643  3.709475940
219000  3.214786643  3.722381687
220000  3.217696642  3.730879803
221000  3.220886642  3.736820136
222000  3.224346641  3.745808986
223000  3.228066641  3.758926402
224000  3.232046640  3.766170312
225000  3.236276640  3.774937766
226000  3.240626639  3.761974562
227000  3.244666639  3.742588736
228000  3.248406638  3.714310415
229000  3.251946638  3.715188544
230000  3.255616637  3.702940899
231000  3.259046637  3.674584314
232000  3.262186636  3.655545824
233000  3.265026636  3.637024234
234000  3.267576635  3.615449584
235000  3.269846635  3.604113308
236000  3.271976635  3.608704295
237000  3.274356634  3.621836898
238000  3.276976634  3.627287444
239000  3.279846634  3.636596872
240000  3.282956633  3.648668763
241000  3.286296633  3.656790876
242000  3.289876632  3.666488032
243000  3.293676632  3.673896931
244000  3.297696631  3.684003368
245000  3.301946631  3.692778731
246000  3.306406630  3.703481436
247000  3.311086629  3.716140742
248000  3.315856629  3.701497861
249000  3.320436628  3.694588806
250000  3.324846627  3.688641753
251000  3.328986627  3.671124041
252000  3.332916626  3.661648133
253000  3.336996626  3.669911274
254000  3.341296625  3.676752870
255000  3.345796624  3.684927243
256000  3.350496624  3.693043596
257000  3.355386623  3.703068517
258000  3.360476623  3.708391426
259000  3.365766622  3.712885345
260000  3.371236621  3.718818429
261000  3.376886620  3.725422657
262000  3.382726620  3.733124809
263000  3.388686619  3.725581557
264000  3.394466618  3.715659409
265000  3.400286617  3.725155929
266000  3.406286616  3.732765706
267000  3.412446616  3.738394462
268000  3.418786615  3.747204030
269000  3.425296614  3.754671224
270000  3.431966613  3.763901814
271000  3.438796612  3.771716333
272000  3.445606611  3.754976872
273000  3.452136610  3.739157807
274000  3.458406609  3.718963675
275000  3.464416609  3.703848220
276000  3.470166608  3.690141383
277000  3.475666607  3.678952927
278000  3.480916607  3.660281631
279000  3.485926606  3.648480123
280000  3.490686605  3.635824901
281000  3.495206605  3.624355949
282000  3.499496604  3.615144650
283000  3.503546604  3.603023330
284000  3.507366603  3.594035913
285000  3.510966603  3.582205298
286000  3.514336602  3.572541226
287000  3.517476602  3.554388345
288000  3.520406601  3.545950292
289000  3.523116601  3.535432882
290000  3.525816601  3.546354761
291000  3.528646600  3.543232047
292000  3.531296600  3.532364962
293000  3.533736600  3.522539393
294000  3.535966599  3.512014281
295000  3.538026599  3.509703378
296000  3.540176599  3.513898199
297000  3.542506599  3.521631344
298000  3.545006598  3.529238494
299000  3.547676598  3.533292454
300000  3.550506598  3.541932865
301000  3.553506597  3.545379148
302000  3.556436597  3.533429518
303000  3.559166596  3.523357705
304000  3.561786596  3.524142771
305000  3.564526596  3.527992625
306000  3.567176595  3.518153873
307000  3.569616595  3.506826639
308000  3.571866595  3.503621211
309000  3.573916595  3.490130337
310000  3.575776594  3.479961520
311000  3.577446594  3.473768051
312000  3.578986594  3.482507699
313000  3.580666594  3.490280745
314000  3.582506593  3.498174830
315000  3.584466593  3.497393302
316000  3.586356593  3.500510233
317000  3.588366593  3.504343222
318000  3.590536592  3.509252427
319000  3.592856592  3.515792261
320000  3.595326592  3.519552871
321000  3.597896591  3.517978766
322000  3.600316591  3.507525469
323000  3.602546591  3.497947988
324000  3.604606591  3.487754494
325000  3.606486590  3.477700604
326000  3.608236590  3.477984726
327000  3.610096590  3.483850617
328000  3.612116590  3.488588015
329000  3.614276589  3.493911990
330000  3.616586589  3.497610635
331000  3.619036589  3.503862682
332000  3.621626588  3.508442097
333000  3.624366588  3.517201364
334000  3.627246588  3.521219837
335000  3.630196587  3.518185649
336000  3.632986587  3.508533002
337000  3.635596587  3.499690337
338000  3.638046586  3.495383464
339000  3.640566586  3.498435707
340000  3.643216586  3.502073729
341000  3.646016585  3.509123102
342000  3.648936585  3.513718325
343000  3.651996585  3.519142595
344000  3.655176584  3.525242290
345000  3.658286584  3.516108982
346000  3.661216583  3.507674744
347000  3.663986583  3.499334797
348000  3.666586583  3.489216843
349000  3.669156582  3.493566948
350000  3.671846582  3.504421293
351000  3.674566582  3.505988959
352000  3.677326581  3.505075142
353000  3.679966581  3.499534210
354000  3.682436581  3.494642133
355000  3.684746581  3.485518041
356000  3.686896580  3.478309330
357000  3.688886580  3.469980618
358000  3.690716580  3.462919344
359000  3.692396580  3.456487555
360000  3.693916579  3.448384050
361000  3.695296579  3.439789730
362000  3.696526579  3.432952367
363000  3.697596579  3.428424486
364000  3.698526579  3.422820748
365000  3.699306579  3.414464240
366000  3.699936579  3.408953641
367000  3.700436579  3.400183218
368000  3.700786579  3.390938054
369000  3.701026578  3.388596997
370000  3.701316578  3.387248725
371000  3.701506578  3.376074091
372000  3.701566578  3.370786823
373000  3.701486578  3.362895985
374000  3.701376578  3.367270820
375000  3.701406578  3.371064117
376000  3.701556578  3.377704738
377000  3.701826578  3.376072444
378000  3.702016578  3.368820602
379000  3.702066578  3.359538164
380000  3.701986578  3.352887589
381000  3.701796578  3.349224973
382000  3.701666578  3.349516724
383000  3.701456578  3.345998906
384000  3.701126578  3.338479600
385000  3.700656579  3.330993559
