#time   deltaF   REWdeltaF
0       0        nan
500     61.1592  nan
1000    85.8411  nan
1500    64.6784  nan
2000    58.0799  nan
2500    54.6657  nan
3000    64.2122  nan
3500    74.9691  nan
4000    59.9928  nan
4500    47.8058  nan
5000    41.5433  nan
5500    41.9678  nan
6000    47.0813  nan
6500    52.9389  nan
7000    58.747   nan
7500    63.2724  nan
8000    64.4954  nan
8500    63.033   nan
9000    63.0368  nan
9500    64.4288  nan
10000   62.6465  nan
10500   61.1951  nan
11000   60.8541  nan
11500   58.9622  nan
12000   58.4196  nan
12500   57.444   nan
13000   60.2165  nan
13500   62.5422  nan
14000   65.306   nan
14500   67.7213  nan
15000   70.1211  nan
15500   72.3161  nan
16000   74.3842  nan
16500   76.6775  nan
17000   78.5971  nan
17500   79.3532  nan
18000   77.823   nan
18500   75.8377  nan
19000   74.3992  nan
19500   73.0758  nan
20000   72.1462  nan
20500   70.8284  nan
21000   69.5006  nan
21500   68.6113  nan
22000   67.8548  nan
22500   67.1014  nan
23000   64.7631  nan
23500   61.8691  nan
24000   59.0859  nan
24500   58.0091  nan
25000   56.426   nan
25500   54.3855  nan
26000   53.1973  nan
26500   52.242   nan
27000   50.6847  nan
27500   48.8622  nan
28000   47.2676  nan
28500   46.8631  nan
29000   46.3021  nan
29500   46.2099  nan
30000   46.2851  nan
30500   46.2106  nan
31000   46.2123  nan
31500   46.2235  nan
32000   45.994   nan
32500   46.6165  nan
33000   46.5543  nan
33500   46.7228  nan
34000   46.7952  nan
34500   46.6644  nan
35000   46.6884  nan
35500   47.2451  nan
36000   47.4968  nan
36500   47.3865  nan
37000   47.2879  nan
37500   47.5815  nan
38000   48.5631  nan
38500   49.5564  nan
39000   50.5149  nan
39500   51.4962  nan
40000   52.4514  0  nan
40500   53.3913  0  nan
41000   54.3543  0  nan
41500   55.2119  0  nan
42000   56.1042  0  nan
42500   56.9533  0  nan
43000   57.7456  0  nan
43500   58.5192  0  nan
44000   59.3489  0  nan
44500   60.1606  0  nan
45000   60.948   0  nan
45500   61.7243  0  nan
46000   62.5046  0  nan
46500   63.2817  0  nan
47000   64.0602  0  nan
47500   64.8347  0  nan
48000   65.5622  0  nan
48500   66.3418  0  nan
49000   67.024   0  nan
49500   66.9104  76.3392
50000   66.3753  73.7644
50500   65.9803  72.2596
51000   65.6183  71.0253
51500   65.2553  70.3309
52000   64.9512  69.4594
52500   65.0231  69.2813
53000   64.5756  68.5639
53500   64.2327  68.0383
54000   63.988   67.6376
54500   63.6577  67.2947
55000   63.323   66.8467
55500   63.0181  66.5721
56000   62.8757  66.2619
56500   63.3554  66.3058
57000   63.4022  66.1527
57500   63.2455  66.0107
58000   62.9325  65.762
58500   62.6924  65.5346
59000   62.5355  65.4005
59500   62.6302  65.2623
60000   63.2272  65.3456
60500   63.8136  65.4226
61000   64.3344  65.4771
61500   64.9162  65.5516
62000   65.5179  65.6461
62500   66.1121  65.7054
63000   66.6447  65.7742
63500   67.1772  65.8361
64000   67.7201  65.9044
64500   68.3312  65.9797
65000   68.9098  66.0471
65500   69.3938  66.1012
66000   69.9032  66.1644
66500   70.2994  66.2154
67000   69.9519  66.2278
67500   69.5895  66.24
68000   69.0305  66.245
68500   67.8407  66.1875
69000   66.3463  66.0898
69500   64.6372  65.8372
70000   63.1642  65.5519
70500   61.4441  65.0283
71000   59.9509  64.3454
71500   58.5451  63.4797
72000   57.0981  62.4997
72500   56.059   61.5263
73000   55.384   60.8792
73500   54.695   60.2536
74000   54.0426  59.6807
74500   53.8801  59.3765
75000   53.6349  58.9823
75500   53.8583  58.9212
76000   54.3406  58.9734
76500   54.796   59.0182
77000   55.2546  59.0677
77500   55.7916  59.1224
78000   56.2379  59.1631
78500   56.7205  59.2159
79000   57.1624  59.2623
79500   57.6413  59.315
80000   58.0899  59.3612
80500   58.53    59.4058
81000   58.7995  59.4318
81500   59.2041  59.4657
82000   59.6545  59.5092
82500   60.1016  59.552
83000   60.5348  59.5864
83500   60.9551  59.6276
84000   61.3907  59.6707
84500   61.8606  59.7197
85000   62.2712  59.7589
85500   62.697   59.7942
86000   63.1413  59.8376
86500   63.5347  59.8787
87000   63.9136  59.9098
87500   64.2868  59.9439
88000   64.6785  59.9768
88500   65.0898  60.0155
89000   65.4595  60.0425
89500   65.8502  60.0738
90000   66.2196  60.1058
90500   66.588   60.1409
91000   66.989   60.1718
91500   67.322   60.1957
92000   67.7112  60.227
92500   68.1084  60.2616
93000   68.4996  60.2914
93500   68.895   60.3191
94000   69.2434  60.3458
94500   69.5846  60.3737
95000   69.9652  60.4075
95500   70.3119  60.4333
