#time   deltaF   REWdeltaF
0       0        nan
500     27.0552  0
1000    38.0438  0
1500    45.9206  0
2000    51.5493  0
2500    55.3419  0
3000    58.1935  0
3500    60.6224  0
4000    62.8328  0
4500    64.9131  0
5000    66.897   0
5500    68.7982  0
6000    70.6241  0
6500    72.3661  0
7000    74.0088  0
7500    75.5854  0
8000    76.8574  84.4608
8500    76.9614  80.4321
9000    76.6183  78.6708
9500    76.1434  77.5144
10000   75.6087  76.7562
10500   74.6399  75.6025
11000   73.2476  74.2969
11500   71.5416  73.21
12000   69.5975  71.751
12500   67.4709  69.9834
13000   65.2132  68.2947
13500   63.4251  66.7452
14000   62.2439  65.7702
14500   61.4823  64.9402
15000   60.9643  64.3396
15500   60.597   64.0539
16000   60.3322  63.6807
16500   60.1379  63.341
17000   59.9924  63.0427
17500   59.881   62.7882
18000   59.7934  62.6117
18500   59.7226  62.38
19000   59.6634  62.1844
19500   59.6126  62.0577
20000   59.5679  61.8938
20500   59.5277  61.6869
21000   59.4908  61.5118
21500   59.4563  61.3545
22000   59.4236  61.3201
22500   59.3923  61.1975
23000   59.3622  61.1156
23500   59.3332  61.0099
24000   59.3053  60.9185
24500   59.2784  60.8562
25000   59.2521  60.7239
25500   59.2266  60.645
26000   59.2017  60.6353
26500   59.1773  60.5567
27000   59.1534  60.4778
27500   59.1299  60.4511
28000   59.1069  60.4412
28500   59.0844  60.3878
29000   59.0623  60.3623
29500   59.0406  60.3474
30000   59.0192  60.3301
30500   59.0032  60.3609
31000   59.0008  60.4322
31500   59.011   60.4916
32000   59.0331  60.5584
32500   59.0659  60.6238
33000   59.1046  60.6155
33500   59.1289  60.6085
34000   59.1408  60.5827
34500   59.144   60.5154
35000   59.141   60.4546
35500   59.1337  60.4136
36000   59.1235  60.3898
36500   59.1114  60.3518
37000   59.0979  60.3214
37500   59.0835  60.2801
38000   59.0685  60.2584
38500   59.0531  60.2382
39000   59.0376  60.2105
39500   59.022   60.1514
40000   59.0063  60.1599
40500   58.9907  60.122
41000   58.9751  60.09
41500   58.9598  60.0547
42000   58.9446  60.0336
42500   58.9297  60.0155
43000   58.9212  60.0633
43500   58.9223  60.0997
44000   58.9323  60.1386
44500   58.9507  60.1871
45000   58.9771  60.2254
45500   59.011   60.2773
46000   59.0519  60.316
46500   59.0995  60.3581
47000   59.1434  60.3387
47500   59.1712  60.3186
48000   59.1874  60.304
48500   59.1996  60.3147
49000   59.219   60.3683
49500   59.2455  60.4002
50000   59.2785  60.447
50500   59.3178  60.4836
51000   59.3629  60.5221
51500   59.4136  60.5686
52000   59.4696  60.6068
52500   59.5308  60.6405
53000   59.5968  60.6722
53500   59.6673  60.7079
54000   59.7423  60.7427
54500   59.8213  60.7763
55000   59.9042  60.8096
55500   59.9908  60.845
56000   60.0809  60.8794
56500   60.1743  60.909
57000   60.2708  60.9368
57500   60.3704  60.9661
58000   60.4729  60.9959
58500   60.578   61.0278
59000   60.6855  61.0583
59500   60.7955  61.0909
60000   60.9079  61.1197
60500   61.0226  61.1519
61000   61.1395  61.181
61500   61.2569  61.199
62000   61.3486  61.199
62500   61.4142  61.196
63000   61.461   61.1892
63500   61.4925  61.1921
64000   61.5126  61.1857
64500   61.5243  61.1825
65000   61.5299  61.185
65500   61.5311  61.1814
66000   61.5289  61.1801
66500   61.5242  61.169
67000   61.5178  61.1676
67500   61.5101  61.1698
68000   61.5043  61.1954
68500   61.5035  61.2191
69000   61.5077  61.2434
69500   61.5166  61.2731
70000   61.5302  61.2997
70500   61.5483  61.3283
71000   61.5706  61.35
71500   61.5969  61.3754
72000   61.6273  61.3993
72500   61.6556  61.3932
73000   61.6742  61.3955
73500   61.6852  61.4002
74000   61.6908  61.3973
74500   61.6928  61.4069
75000   61.6979  61.4268
75500   61.7074  61.4458
76000   61.721   61.4688
76500   61.7385  61.4887
77000   61.76    61.5085
77500   61.7852  61.5344
78000   61.8141  61.555
78500   61.8465  61.5815
79000   61.8823  61.6037
79500   61.9213  61.6223
80000   61.9635  61.6417
80500   62.0087  61.6635
81000   62.0569  61.6866
81500   62.1079  61.7056
82000   62.1617  61.7255
82500   62.2181  61.7498
83000   62.277   61.7719
83500   62.3385  61.7937
84000   62.4024  61.8138
84500   62.4684  61.8325
85000   62.5366  61.8579
85500   62.6071  61.8756
86000   62.6797  61.891
86500   62.7541  61.9062
87000   62.8304  61.9232
87500   62.9085  61.9397
88000   62.9731  61.9426
88500   63.0194  61.9427
89000   63.0521  61.9489
89500   63.0815  61.9673
90000   63.1137  61.9852
90500   63.1487  62.0021
91000   63.1862  62.0226
91500   63.2264  62.0428
92000   63.2691  62.0624
92500   63.3142  62.0808
93000   63.3617  62.0989
93500   63.4115  62.1197
94000   63.4635  62.1391
94500   63.5176  62.1606
95000   63.5737  62.1795
95500   63.632   62.1987
96000   63.6922  62.213
96500   63.7544  62.2344
97000   63.8185  62.2507
97500   63.8845  62.2681
98000   63.9522  62.2836
98500   64.0216  62.3023
99000   64.0926  62.319
99500   64.1653  62.3361
100000  64.2394  62.3484
100500  64.3149  62.3653
101000  64.3919  62.3791
101500  64.4704  62.3972
102000  64.5503  62.4118
102500  64.6316  62.4245
103000  64.7143  62.438
103500  64.7983  62.4565
104000  64.8769  62.4651
104500  64.9356  62.4701
105000  64.9784  62.4765
105500  65.0092  62.4813
106000  65.029   62.4789
106500  65.0372  62.471
107000  65.0371  62.4638
107500  65.0311  62.452
108000  65.021   62.4451
108500  65.0078  62.4364
109000  64.9926  62.4307
109500  64.976   62.4308
110000  64.9583  62.4262
110500  64.94    62.4214
111000  64.9212  62.4139
111500  64.9022  62.4066
112000  64.8829  62.4062
112500  64.8629  62.3958
113000  64.8384  62.3789
113500  64.8096  62.364
114000  64.7776  62.3457
114500  64.7432  62.3321
115000  64.7069  62.3155
115500  64.6691  62.3009
116000  64.6314  62.2898
116500  64.5984  62.2874
117000  64.5695  62.2819
117500  64.5419  62.2659
118000  64.5113  62.2481
118500  64.4782  62.2306
119000  64.4434  62.2153
119500  64.4071  62.1974
120000  64.3697  62.1828
120500  64.3316  62.1659
121000  64.2929  62.152
121500  64.2538  62.1325
122000  64.2145  62.1131
122500  64.175   62.0972
123000  64.1354  62.0808
123500  64.0958  62.0629
124000  64.0562  62.0409
124500  64.0166  62.0228
125000  63.9772  62.0043
125500  63.9379  61.9875
126000  63.8987  61.9711
126500  63.8596  61.9566
127000  63.8207  61.9349
127500  63.782   61.916
128000  63.7437  61.8967
128500  63.7078  61.88
129000  63.6766  61.8726
129500  63.6494  61.8642
130000  63.6253  61.8539
130500  63.6032  61.8495
131000  63.5827  61.8377
131500  63.5634  61.8273
132000  63.5449  61.8207
132500  63.5271  61.81
133000  63.5096  61.7963
133500  63.4924  61.7919
134000  63.4755  61.7816
134500  63.4595  61.7766
135000  63.4455  61.7793
135500  63.4333  61.7862
136000  63.4224  61.7891
136500  63.4126  61.7877
137000  63.4036  61.789
137500  63.3952  61.7867
138000  63.3873  61.7879
138500  63.3798  61.7885
139000  63.3726  61.7893
139500  63.3656  61.7924
140000  63.3588  61.7936
140500  63.3522  61.7952
141000  63.3457  61.7958
141500  63.3393  61.7993
142000  63.3329  61.8027
142500  63.3267  61.8041
143000  63.3205  61.8078
143500  63.3143  61.809
144000  63.3082  61.8124
144500  63.3022  61.8126
145000  63.2961  61.8122
145500  63.2901  61.8103
146000  63.2842  61.8104
146500  63.2782  61.8136
147000  63.2723  61.8179
147500  63.2663  61.8228
148000  63.2603  61.8254
148500  63.2544  61.8282
149000  63.2471  61.8213
149500  63.2378  61.8083
150000  63.227   61.8059
150500  63.2152  61.7951
151000  63.2033  61.7939
151500  63.1928  61.7955
152000  63.1834  61.7999
152500  63.1749  61.8013
153000  63.1667  61.7922
153500  63.1571  61.7793
154000  63.1462  61.7747
154500  63.1344  61.7664
155000  63.122   61.7572
155500  63.1092  61.7477
156000  63.0961  61.7378
156500  63.0828  61.7245
157000  63.0694  61.7171
157500  63.0552  61.7034
158000  63.0377  61.6834
158500  63.0173  61.6602
159000  62.9946  61.6377
159500  62.9701  61.6221
160000  62.9441  61.6023
160500  62.9171  61.5851
161000  62.8895  61.5631
161500  62.8613  61.5397
162000  62.8343  61.5283
162500  62.8111  61.518
163000  62.7908  61.5077
163500  62.7725  61.502
164000  62.7557  61.4892
164500  62.7399  61.4786
165000  62.7249  61.4725
165500  62.7104  61.4621
166000  62.6964  61.4533
166500  62.6827  61.4441
167000  62.6693  61.4317
167500  62.656   61.4222
168000  62.6429  61.4133
168500  62.6302  61.4045
169000  62.6177  61.391
169500  62.6051  61.3819
170000  62.5925  61.372
170500  62.5799  61.3668
171000  62.5673  61.3588
171500  62.5548  61.3506
172000  62.5422  61.3449
172500  62.5297  61.337
173000  62.5161  61.3155
173500  62.4997  61.3
174000  62.4838  61.2919
174500  62.4695  61.2863
175000  62.4558  61.275
175500  62.4425  61.2653
176000  62.4296  61.2579
176500  62.4168  61.2506
177000  62.4043  61.2416
177500  62.3924  61.2411
178000  62.3821  61.2425
178500  62.3731  61.2443
179000  62.365   61.2489
179500  62.3577  61.25
180000  62.351   61.2516
180500  62.3448  61.2515
181000  62.3389  61.2531
181500  62.3334  61.2557
182000  62.328   61.2562
182500  62.3229  61.2574
183000  62.3178  61.2581
183500  62.313   61.2627
184000  62.3082  61.2625
184500  62.3035  61.2645
185000  62.2988  61.2646
185500  62.2942  61.2632
186000  62.2897  61.2669
186500  62.2853  61.268
187000  62.2805  61.2631
187500  62.274   61.2528
188000  62.2662  61.244
188500  62.2573  61.2356
189000  62.2478  61.2238
189500  62.2383  61.2211
190000  62.2299  61.223
190500  62.2224  61.2238
191000  62.2157  61.2218
191500  62.2095  61.2196
192000  62.2037  61.2205
192500  62.1983  61.2211
193000  62.1932  61.2253
193500  62.1882  61.2244
194000  62.1835  61.221
194500  62.1795  61.2319
195000  62.1771  61.2428
195500  62.1762  61.2531
196000  62.1768  61.2627
196500  62.1788  61.2738
197000  62.1823  61.2831
197500  62.1872  61.2922
198000  62.1934  61.3011
198500  62.201   61.3114
199000  62.21    61.3212
199500  62.2202  61.3312
200000  62.2318  61.3428
