#time deltaF
0 0
10000 15.2687
20000 12.6461
30000 12.5985
40000 12.3179
50000 12.0011
60000 11.785
70000 11.5198
80000 11.3303
90000 11.1969
100000 11.0047
110000 10.8617
120000 10.6911
130000 10.5663
140000 10.4182
150000 10.2526
160000 10.0603
170000 9.89409
180000 9.80562
190000 9.71867
200000 9.62016
210000 9.52335
220000 9.43257
230000 9.35257
240000 9.28849
250000 9.25647
260000 9.21809
270000 9.1776
280000 9.15551
290000 9.15853
300000 9.15996
310000 9.13197
320000 9.10186
330000 9.07027
340000 9.05397
350000 9.06181
360000 9.06681
370000 9.0369
380000 8.99139
390000 8.95143
400000 8.93287
410000 8.92628
420000 8.9198
430000 8.92107
440000 8.91461
450000 8.89818
460000 8.89165
470000 8.88282
480000 8.88398
490000 8.88059
500000 8.83731
510000 8.83346
520000 8.83108
530000 8.83221
540000 8.83554
550000 8.83592
560000 8.83801
570000 8.83817
580000 8.83629
590000 8.84842
600000 8.87574
610000 8.8936
620000 8.90748
630000 8.90292
640000 8.88922
650000 8.8771
660000 8.86637
670000 8.85535
680000 8.84909
690000 8.83803
700000 8.82475
710000 8.81282
720000 8.79853
730000 8.77815
740000 8.76641
750000 8.76593
760000 8.76614
770000 8.75619
780000 8.74751
790000 8.74736
800000 8.74679
810000 8.74682
820000 8.74021
830000 8.72175
840000 8.6952
850000 8.65636
860000 8.63424
870000 8.62824
880000 8.6284
890000 8.63123
900000 8.62872
910000 8.62116
920000 8.60752
930000 8.58973
940000 8.56773
950000 8.54038
960000 8.50969
970000 8.4836
980000 8.45819
990000 8.43662
1000000 8.41363
1010000 8.38583
1020000 8.36254
1030000 8.33911
1040000 8.32621
1050000 8.3286
1060000 8.32612
1070000 8.30696
1080000 8.28639
1090000 8.26538
1100000 8.25808
1110000 8.25259
1120000 8.24805
1130000 8.24148
1140000 8.23484
1150000 8.23124
1160000 8.22582
1170000 8.21522
1180000 8.20605
1190000 8.21155
1200000 8.21973
1210000 8.22813
1220000 8.24361
1230000 8.25987
1240000 8.27362
1250000 8.28712
1260000 8.30114
1270000 8.31663
1280000 8.33126
1290000 8.34921
1300000 8.3763
1310000 8.40325
1320000 8.42432
1330000 8.43848
1340000 8.45182
1350000 8.46472
1360000 8.46725
1370000 8.4689
1380000 8.4733
1390000 8.48765
1400000 8.49313
1410000 8.49542
1420000 8.49752
1430000 8.50502
1440000 8.51274
1450000 8.51493
1460000 8.52131
1470000 8.52718
1480000 8.53135
1490000 8.53443
1500000 8.53439
1510000 8.52818
1520000 8.51999
1530000 8.51471
1540000 8.51185
1550000 8.50848
1560000 8.50481
1570000 8.49744
1580000 8.49323
1590000 8.4899
1600000 8.48607
1610000 8.4822
1620000 8.47882
1630000 8.46567
1640000 8.45366
1650000 8.44129
1660000 8.4328
1670000 8.42502
1680000 8.41458
1690000 8.40684
1700000 8.4046
1710000 8.40898
1720000 8.41492
1730000 8.42093
1740000 8.42234
1750000 8.42379
1760000 8.42488
1770000 8.42456
1780000 8.41972
1790000 8.41568
1800000 8.40799
1810000 8.40538
1820000 8.40099
1830000 8.39599
1840000 8.39286
1850000 8.38962
1860000 8.38796
1870000 8.38997
1880000 8.39167
1890000 8.39338
1900000 8.39319
1910000 8.39196
1920000 8.39754
1930000 8.4026
1940000 8.40803
1950000 8.41288
1960000 8.4134
1970000 8.41437
1980000 8.41535
1990000 8.41618
2000000 8.41774
