#time deltaF
300000 0
310000 11.6184
320000 11.5961
330000 11.6168
340000 11.9186
350000 12.1002
360000 12.1045
370000 12.1192
380000 12.1619
390000 12.1573
400000 12.1685
410000 12.1595
420000 12.119
430000 12.0436
440000 11.93
450000 11.5875
460000 11.2197
470000 10.7983
480000 10.356
490000 9.96936
500000 9.56626
510000 9.16767
520000 8.6908
530000 8.24661
540000 7.91596
550000 7.62534
560000 7.37421
570000 7.11394
580000 6.89842
590000 6.69367
600000 6.57269
610000 6.47747
620000 6.41
630000 6.37744
640000 6.35431
650000 6.33223
660000 6.31419
670000 6.30007
680000 6.29164
690000 6.28568
700000 6.28346
710000 6.30217
720000 6.33019
730000 6.37827
740000 6.42343
750000 6.46907
760000 6.5134
770000 6.55666
780000 6.60186
790000 6.64638
800000 6.70421
810000 6.76114
820000 6.81503
830000 6.86817
840000 6.92303
850000 6.98042
860000 7.03086
870000 7.076
880000 7.10143
890000 7.1209
900000 7.14849
910000 7.16738
920000 7.18977
930000 7.21303
940000 7.24205
950000 7.26916
960000 7.29366
970000 7.30901
980000 7.32649
990000 7.34683
1000000 7.35949
1010000 7.36389
1020000 7.36681
1030000 7.36823
1040000 7.36936
1050000 7.37075
1060000 7.37668
1070000 7.38361
1080000 7.39607
1090000 7.40775
1100000 7.42076
1110000 7.43812
1120000 7.45861
1130000 7.47073
1140000 7.48874
1150000 7.50208
1160000 7.51403
1170000 7.52603
1180000 7.53454
1190000 7.54019
1200000 7.54378
1210000 7.54657
1220000 7.55259
1230000 7.56184
1240000 7.57185
1250000 7.58184
1260000 7.58534
1270000 7.59258
1280000 7.6045
1290000 7.62168
1300000 7.63607
1310000 7.64946
1320000 7.65264
1330000 7.66193
1340000 7.67095
1350000 7.67704
1360000 7.68005
1370000 7.68797
1380000 7.69571
1390000 7.70086
1400000 7.70811
1410000 7.719
1420000 7.73156
1430000 7.74439
1440000 7.75358
1450000 7.75946
1460000 7.7623
1470000 7.76398
1480000 7.76665
1490000 7.76766
1500000 7.76841
1510000 7.76868
1520000 7.76904
1530000 7.77027
1540000 7.77486
1550000 7.778
1560000 7.78402
1570000 7.78877
1580000 7.79685
1590000 7.80685
1600000 7.81794
1610000 7.82859
1620000 7.84043
1630000 7.85594
1640000 7.8716
1650000 7.8868
1660000 7.89706
1670000 7.90377
1680000 7.90854
1690000 7.9147
1700000 7.91723
1710000 7.92328
1720000 7.93511
1730000 7.9496
1740000 7.96638
1750000 7.98138
1760000 7.99848
1770000 8.01676
1780000 8.03501
1790000 8.05147
1800000 8.06518
1810000 8.0766
1820000 8.08578
1830000 8.0894
1840000 8.09333
1850000 8.09654
1860000 8.10037
1870000 8.10691
1880000 8.11358
1890000 8.11879
1900000 8.12173
1910000 8.12402
1920000 8.12373
1930000 8.11817
1940000 8.11135
1950000 8.10432
1960000 8.09676
1970000 8.08976
1980000 8.08515
1990000 8.08069
2000000 8.07091
