#time deltaF
300000 0
310000 8.97413
320000 8.7404
330000 8.68363
340000 8.6368
350000 8.58361
360000 8.46747
370000 8.37183
380000 8.32097
390000 8.35806
400000 8.39406
410000 8.45642
420000 8.5099
430000 8.50332
440000 8.55166
450000 8.59025
460000 8.64702
470000 8.7379
480000 8.82699
490000 8.91374
500000 8.9826
510000 8.98727
520000 8.99063
530000 8.99594
540000 9.00403
550000 9.01849
560000 9.0178
570000 9.01502
580000 9.03541
590000 9.05935
600000 9.05159
610000 9.02678
620000 9.00083
630000 8.97679
640000 8.96705
650000 8.97083
660000 8.96932
670000 8.96823
680000 8.97108
690000 8.97767
700000 8.99485
710000 9.01539
720000 9.03662
730000 9.07395
740000 9.10739
750000 9.1186
760000 9.12386
770000 9.12824
780000 9.12933
790000 9.13134
800000 9.134
810000 9.15016
820000 9.17429
830000 9.20647
840000 9.23847
850000 9.25874
860000 9.27691
870000 9.29288
880000 9.30993
890000 9.32587
900000 9.34527
910000 9.36594
920000 9.39253
930000 9.41327
940000 9.42532
950000 9.42159
960000 9.42192
970000 9.4205
980000 9.41159
990000 9.40352
1000000 9.40343
1010000 9.4062
1020000 9.40891
1030000 9.41034
1040000 9.42121
1050000 9.43333
1060000 9.44593
1070000 9.45722
1080000 9.46391
1090000 9.46641
1100000 9.47661
1110000 9.48793
1120000 9.49925
1130000 9.50644
1140000 9.50883
1150000 9.51167
1160000 9.5165
1170000 9.52696
1180000 9.53886
1190000 9.55741
1200000 9.57622
1210000 9.59615
1220000 9.61396
1230000 9.62473
1240000 9.635
1250000 9.6446
1260000 9.65322
1270000 9.66346
1280000 9.66921
1290000 9.67255
1300000 9.67542
1310000 9.67837
1320000 9.67736
1330000 9.67804
1340000 9.6738
1350000 9.67205
1360000 9.67456
1370000 9.67681
1380000 9.68058
1390000 9.68319
1400000 9.6748
1410000 9.66172
1420000 9.65028
1430000 9.64423
1440000 9.6376
1450000 9.6302
1460000 9.62905
1470000 9.64268
1480000 9.65635
1490000 9.66476
1500000 9.66957
1510000 9.66614
1520000 9.65156
1530000 9.63664
1540000 9.62311
1550000 9.61502
1560000 9.60679
1570000 9.59289
1580000 9.58421
1590000 9.57649
1600000 9.56947
1610000 9.5654
1620000 9.56287
1630000 9.55639
1640000 9.54889
1650000 9.53959
1660000 9.51901
1670000 9.49871
1680000 9.48094
1690000 9.45807
1700000 9.42938
1710000 9.39405
1720000 9.36092
1730000 9.32999
1740000 9.29962
1750000 9.27035
1760000 9.24817
1770000 9.23666
1780000 9.22002
1790000 9.2018
1800000 9.18592
1810000 9.1646
1820000 9.13887
1830000 9.11583
1840000 9.09071
1850000 9.06757
1860000 9.05235
1870000 9.04052
1880000 9.02542
1890000 9.00589
1900000 8.98638
1910000 8.9678
1920000 8.94934
1930000 8.92849
1940000 8.90213
1950000 8.88072
1960000 8.86754
1970000 8.85958
1980000 8.85066
1990000 8.84544
2000000 8.84029
