#time deltaF
0 0
10000 6.24051
20000 8.43885
30000 9.63318
40000 10.2869
50000 10.8162
60000 11.2989
70000 11.5809
80000 11.7189
90000 11.7983
100000 11.8522
110000 11.8944
120000 11.9677
130000 12.021
140000 11.9948
150000 11.9347
160000 11.8643
170000 11.7914
180000 11.7232
190000 11.6575
200000 11.5862
210000 11.5158
220000 11.4641
230000 11.4075
240000 11.3424
250000 11.2876
260000 11.2508
270000 11.226
280000 11.2068
290000 11.1904
300000 11.1777
310000 11.1791
320000 11.2011
330000 11.2285
340000 11.2478
350000 11.264
360000 11.2796
370000 11.2946
380000 11.3092
390000 11.3231
400000 11.3218
410000 11.3046
420000 11.2768
430000 11.2389
440000 11.198
450000 11.1569
460000 11.1142
470000 11.0697
480000 11.035
490000 11.0085
500000 10.9977
510000 10.9969
520000 10.9978
530000 10.9938
540000 10.9813
550000 10.9705
560000 10.9603
570000 10.9475
580000 10.9399
590000 10.9403
600000 10.9405
610000 10.9376
620000 10.9329
630000 10.9222
640000 10.9077
650000 10.894
660000 10.8884
670000 10.8805
680000 10.8703
690000 10.8625
700000 10.8564
710000 10.8556
720000 10.8591
730000 10.8656
740000 10.8766
750000 10.8851
760000 10.8905
770000 10.8911
780000 10.8865
790000 10.8813
800000 10.876
810000 10.8649
820000 10.8453
830000 10.8208
840000 10.7954
850000 10.7717
860000 10.7518
870000 10.7355
880000 10.7227
890000 10.7106
900000 10.6981
910000 10.6853
920000 10.672
930000 10.656
940000 10.6385
950000 10.6185
960000 10.5951
970000 10.5681
980000 10.542
990000 10.5147
1000000 10.4854
1010000 10.4554
1020000 10.4254
1030000 10.3968
1040000 10.3712
1050000 10.3471
1060000 10.324
1070000 10.3052
1080000 10.291
1090000 10.28
1100000 10.2729
1110000 10.2681
1120000 10.2645
1130000 10.2617
1140000 10.2592
1150000 10.2556
1160000 10.2495
1170000 10.2422
1180000 10.2355
1190000 10.2297
1200000 10.224
1210000 10.2266
1220000 10.2331
1230000 10.2367
1240000 10.2417
1250000 10.246
1260000 10.2505
1270000 10.2558
1280000 10.2615
1290000 10.2674
1300000 10.2734
1310000 10.2775
1320000 10.2818
1330000 10.286
1340000 10.2883
1350000 10.2879
1360000 10.2834
1370000 10.2735
1380000 10.2622
1390000 10.2492
1400000 10.2357
1410000 10.2229
1420000 10.2116
1430000 10.1989
1440000 10.1858
1450000 10.1713
1460000 10.1561
1470000 10.1412
1480000 10.1286
1490000 10.1189
1500000 10.1124
1510000 10.1085
1520000 10.1079
1530000 10.1094
1540000 10.1124
1550000 10.1163
1560000 10.1206
1570000 10.1265
1580000 10.1348
1590000 10.1404
1600000 10.1427
1610000 10.1414
1620000 10.1381
1630000 10.1345
1640000 10.1304
1650000 10.1244
1660000 10.1165
1670000 10.1076
1680000 10.0983
1690000 10.0887
1700000 10.0796
1710000 10.0721
1720000 10.067
1730000 10.0663
1740000 10.0698
1750000 10.0754
1760000 10.0813
1770000 10.0893
1780000 10.0988
1790000 10.1072
1800000 10.1121
1810000 10.1129
1820000 10.1112
1830000 10.108
1840000 10.1046
1850000 10.1021
1860000 10.1001
1870000 10.0978
1880000 10.0943
1890000 10.0901
1900000 10.0853
1910000 10.0807
1920000 10.075
1930000 10.0666
1940000 10.0579
1950000 10.049
1960000 10.039
1970000 10.0261
1980000 10.0105
1990000 9.99334
2000000 9.97568
