#time deltaF
0 0
10000 9.65532
20000 9.16631
30000 9.07069
40000 8.57883
50000 9.27262
60000 11.2405
70000 11.6644
80000 11.1384
90000 9.29881
100000 7.82009
110000 6.75177
120000 5.93763
130000 4.91545
140000 5.16088
150000 5.58972
160000 6.16299
170000 6.88442
180000 7.46067
190000 8.00157
200000 8.25755
210000 7.96519
220000 7.72077
230000 7.80307
240000 7.88895
250000 7.96722
260000 8.02109
270000 8.0807
280000 8.1315
290000 8.17178
300000 8.31675
310000 8.6042
320000 8.8469
330000 9.07988
340000 9.19941
350000 9.17542
360000 9.16708
370000 9.15785
380000 9.14792
390000 9.1314
400000 9.25644
410000 9.42377
420000 9.58746
430000 9.72825
440000 9.68938
450000 9.55215
460000 9.35838
470000 9.17714
480000 9.04926
490000 8.88899
500000 8.74762
510000 8.6053
520000 8.47992
530000 8.36119
540000 8.24761
550000 8.14268
560000 8.03544
570000 7.9304
580000 7.84901
590000 7.8059
600000 7.8476
610000 7.87585
620000 7.87045
630000 7.86986
640000 8.01986
650000 8.15417
660000 8.29196
670000 8.52038
680000 8.74312
690000 8.97086
700000 9.19268
710000 9.40754
720000 9.69513
730000 9.89643
740000 10.0799
750000 10.2578
760000 10.5242
770000 10.6898
780000 10.8449
790000 10.9645
800000 11.0096
810000 11.0805
820000 11.1183
830000 11.1582
840000 11.1366
850000 11.0818
860000 11.0175
870000 10.8454
880000 10.6686
890000 10.5543
900000 10.4913
910000 10.3685
920000 10.291
930000 10.2801
940000 10.2464
950000 10.2198
960000 10.1951
970000 10.162
980000 10.1383
990000 10.1145
1000000 10.0064
1010000 9.83529
1020000 9.66519
1030000 9.55228
1040000 9.46877
1050000 9.50067
1060000 9.5455
1070000 9.53959
1080000 9.56152
1090000 9.62008
1100000 9.6787
1110000 9.80102
1120000 9.90588
1130000 9.85888
1140000 9.77256
1150000 9.69443
1160000 9.61169
1170000 9.47124
1180000 9.33282
1190000 9.15626
1200000 8.96475
1210000 8.77654
1220000 8.59673
1230000 8.41932
1240000 8.29321
1250000 8.18384
1260000 8.08047
1270000 7.9939
1280000 7.9084
1290000 7.85822
1300000 7.84467
1310000 7.83773
1320000 7.71091
1330000 7.56455
1340000 7.40342
1350000 7.27858
1360000 7.24478
1370000 7.25058
1380000 7.27226
1390000 7.29911
1400000 7.32519
1410000 7.34817
1420000 7.32512
1430000 7.29767
1440000 7.26616
1450000 7.19135
1460000 7.11187
1470000 7.03447
1480000 6.92423
1490000 6.8533
1500000 6.78074
1510000 6.71434
1520000 6.65316
1530000 6.65085
1540000 6.67937
1550000 6.71108
1560000 6.78332
1570000 6.85689
1580000 6.92971
1590000 7.00406
1600000 7.07553
1610000 7.14494
1620000 7.20173
1630000 7.26619
1640000 7.32977
1650000 7.39563
1660000 7.45196
1670000 7.47041
1680000 7.52322
1690000 7.58319
1700000 7.64017
1710000 7.69645
1720000 7.75068
1730000 7.80517
1740000 7.85191
1750000 7.90645
1760000 7.96006
1770000 8.0128
1780000 8.06311
1790000 8.11737
1800000 8.15481
1810000 8.20403
1820000 8.2517
1830000 8.30113
1840000 8.34812
1850000 8.39612
1860000 8.44146
1870000 8.51329
1880000 8.58391
1890000 8.61808
1900000 8.61341
1910000 8.61722
1920000 8.62812
1930000 8.66886
1940000 8.712
1950000 8.72762
1960000 8.72877
1970000 8.73156
1980000 8.76199
1990000 8.7996
2000000 8.80347
