#time deltaF
0 0
10000 9.51554
20000 9.40479
30000 9.20823
40000 9.12616
50000 7.57183
60000 3.25753
70000 -0.0479752
80000 -2.50753
90000 -4.36292
100000 -5.89968
110000 -5.81267
120000 -4.63022
130000 -3.61375
140000 -2.73825
150000 -2.02754
160000 -1.41065
170000 -0.904489
180000 -0.446378
190000 -0.0333788
200000 0.343443
210000 0.670633
220000 0.983954
230000 1.27322
240000 1.54143
250000 1.77942
260000 2.00321
270000 2.21789
280000 2.41291
290000 2.68501
300000 3.28229
310000 3.85613
320000 4.40031
330000 4.90266
340000 5.38936
350000 5.84843
360000 6.28618
370000 6.70506
380000 6.88298
390000 6.9222
400000 6.95181
410000 6.98699
420000 7.01914
430000 7.20901
440000 7.54462
450000 7.87243
460000 8.18892
470000 8.49745
480000 8.79245
490000 9.08339
500000 9.35877
510000 9.63132
520000 9.89851
530000 10.1565
540000 10.4016
550000 10.6328
560000 10.737
570000 10.7055
580000 10.6761
590000 10.6415
600000 10.6138
610000 10.5776
620000 10.5484
630000 10.5193
640000 10.4946
650000 10.4675
660000 10.4403
670000 10.416
680000 10.3981
690000 10.3712
700000 10.3463
710000 10.3237
720000 10.2982
730000 10.2796
740000 10.2608
750000 10.2441
760000 10.2243
770000 10.2077
780000 10.3507
790000 10.5224
800000 10.692
810000 10.858
820000 11.0235
830000 11.1824
840000 11.2395
850000 11.2131
860000 11.1812
870000 11.0962
880000 10.898
890000 10.7032
900000 10.5095
910000 10.3193
920000 10.1393
930000 9.96423
940000 9.76144
950000 9.43404
960000 9.11528
970000 8.80444
980000 8.5017
990000 8.3399
1000000 8.19535
1010000 8.05672
1020000 7.92203
1030000 7.78937
1040000 7.7296
1050000 7.59018
1060000 7.46508
1070000 7.34078
1080000 7.30416
1090000 7.20423
1100000 7.0847
1110000 6.97176
1120000 6.96481
1130000 6.98601
1140000 7.07746
1150000 7.21859
1160000 7.35705
1170000 7.49506
1180000 7.62856
1190000 7.76248
1200000 7.89665
1210000 8.02866
1220000 8.14249
1230000 8.14627
1240000 8.15418
1250000 8.24674
1260000 8.36844
1270000 8.49468
1280000 8.61456
1290000 8.65789
1300000 8.65839
1310000 8.66194
1320000 8.66392
1330000 8.75248
1340000 8.86662
1350000 8.97528
1360000 9.08521
1370000 9.19317
1380000 9.30114
1390000 9.40546
1400000 9.44072
1410000 9.43547
1420000 9.44615
1430000 9.54709
1440000 9.64921
1450000 9.74714
1460000 9.84415
1470000 9.94253
1480000 10.0365
1490000 10.1328
1500000 10.2263
1510000 10.3198
1520000 10.4133
1530000 10.5033
1540000 10.5952
1550000 10.6807
1560000 10.7665
1570000 10.8537
1580000 10.9374
1590000 11.0202
1600000 11.0772
1610000 11.0635
1620000 11.0492
1630000 11.0174
1640000 10.8805
1650000 10.6833
1660000 10.5795
1670000 10.4777
1680000 10.3771
1690000 10.2912
1700000 10.2827
1710000 10.2735
1720000 10.2653
1730000 10.2555
1740000 10.2483
1750000 10.2351
1760000 10.1395
1770000 10.0449
1780000 9.94977
1790000 9.85908
1800000 9.76778
1810000 9.6122
1820000 9.43989
1830000 9.27008
1840000 9.10227
1850000 8.93588
1860000 8.77226
1870000 8.61002
1880000 8.46491
1890000 8.38701
1900000 8.36414
1910000 8.44712
1920000 8.52672
1930000 8.60603
1940000 8.6842
1950000 8.76327
1960000 8.84334
1970000 8.91993
1980000 8.99837
1990000 9.07649
2000000 9.15318
