#time deltaF
0 0
10000 16.099
20000 15.2485
30000 -11.8819
40000 -8.0514
50000 1.82719
60000 8.3057
70000 12.8165
80000 15.8918
90000 9.91945
100000 1.3952
110000 -4.3043
120000 -8.53943
130000 -11.9279
140000 -14.8089
150000 -10.774
160000 -7.01145
170000 -3.96103
180000 -1.35674
190000 0.912705
200000 2.91327
210000 4.63955
220000 6.22102
230000 7.68242
240000 8.95609
250000 10.2658
260000 11.4414
270000 12.4438
280000 13.0284
290000 9.34895
300000 6.26881
310000 3.65135
320000 3.78324
330000 4.89114
340000 5.9097
350000 6.95735
360000 7.89771
370000 8.75319
380000 9.51823
390000 10.2882
400000 10.9657
410000 11.6436
420000 12.2951
430000 12.8715
440000 13.4613
450000 13.9896
460000 14.3062
470000 11.9009
480000 9.76508
490000 7.82277
500000 6.13003
510000 4.54043
520000 3.1064
530000 1.76943
540000 0.522176
550000 -0.628439
560000 -1.72052
570000 -2.51417
580000 -1.69915
590000 -0.922618
600000 -0.209304
610000 0.456783
620000 1.13268
630000 1.80577
640000 2.43553
650000 3.06139
660000 3.63193
670000 4.15642
680000 4.65203
690000 5.18664
700000 5.71308
710000 6.19527
720000 6.65041
730000 7.09443
740000 7.53525
750000 7.93691
760000 8.36696
770000 8.78001
780000 9.1639
790000 9.54017
800000 9.9198
810000 10.2635
820000 10.6078
830000 9.93012
840000 8.79761
850000 7.73219
860000 6.71834
870000 5.76585
880000 4.87349
890000 3.98406
900000 3.18788
910000 2.40592
920000 1.66825
930000 0.956465
940000 0.267041
950000 0.373805
960000 0.823677
970000 1.2503
980000 1.65897
990000 2.06818
1000000 2.45394
1010000 2.83831
1020000 3.20076
1030000 3.57153
1040000 3.93673
1050000 4.28063
1060000 4.62514
1070000 4.95022
1080000 5.27699
1090000 5.59891
1100000 5.91112
1110000 6.20419
1120000 6.49904
1130000 6.77985
1140000 7.06267
1150000 7.33957
1160000 7.61152
1170000 7.87529
1180000 8.13932
1190000 8.38508
1200000 8.65706
1210000 8.91398
1220000 9.16025
1230000 9.41614
1240000 9.65203
1250000 8.95226
1260000 8.22613
1270000 7.52267
1280000 6.84036
1290000 6.19849
1300000 6.14627
1310000 6.41535
1320000 6.6707
1330000 6.92589
1340000 7.16898
1350000 7.42072
1360000 7.66647
1370000 7.91115
1380000 8.14107
1390000 8.36317
1400000 8.58421
1410000 8.78936
1420000 9.0119
1430000 9.22208
1440000 9.4242
1450000 9.62774
1460000 9.82736
1470000 10.0255
1480000 10.2273
1490000 10.4201
1500000 10.6223
1510000 10.8047
1520000 10.9825
1530000 11.1661
1540000 11.3432
1550000 11.5158
1560000 11.6973
1570000 11.8744
1580000 12.0407
1590000 11.3889
1600000 10.7436
1610000 10.1138
1620000 9.51004
1630000 8.94047
1640000 8.38676
1650000 7.84094
1660000 7.30751
1670000 6.79426
1680000 6.30227
1690000 5.8178
1700000 5.33975
1710000 4.87986
1720000 4.56831
1730000 4.78398
1740000 4.9873
1750000 5.19888
1760000 5.41093
1770000 5.60868
1780000 5.79608
1790000 5.99498
1800000 6.18528
1810000 6.37146
1820000 6.56113
1830000 6.74654
1840000 6.93548
1850000 7.12076
1860000 7.30184
1870000 7.47503
1880000 7.64578
1890000 7.81359
1900000 7.97859
1910000 8.13624
1920000 8.29208
1930000 8.45749
1940000 8.6131
1950000 8.77071
1960000 8.92074
1970000 9.06363
1980000 9.16661
1990000 8.70082
2000000 8.24751
