#time deltaF
300000 0
310000 20.1343
320000 20.6263
330000 20.6824
340000 21.2112
350000 21.2807
360000 21.5504
370000 17.4694
380000 13.5305
390000 13.1881
400000 13.5147
410000 13.7966
420000 14.0399
430000 14.2813
440000 14.2505
450000 13.0645
460000 11.3501
470000 9.7161
480000 8.14402
490000 6.65289
500000 5.37497
510000 4.27019
520000 3.22065
530000 2.3369
540000 1.59235
550000 0.98056
560000 0.397273
570000 -0.058555
580000 -0.479357
590000 -0.811847
600000 -1.12868
610000 -1.1678
620000 -1.12903
630000 -1.08023
640000 -1.01603
650000 -0.942391
660000 -0.868151
670000 -0.769896
680000 -0.648782
690000 -0.534486
700000 -0.41283
710000 -0.295571
720000 -0.158876
730000 -0.022362
740000 0.086971
750000 0.202619
760000 0.321404
770000 0.444814
780000 0.552223
790000 0.669218
800000 0.761781
810000 0.860836
820000 0.954098
830000 1.0429
840000 1.12582
850000 1.20854
860000 1.28529
870000 1.34097
880000 1.422
890000 1.49302
900000 1.56994
910000 1.64813
920000 1.72427
930000 1.79732
940000 1.8629
950000 1.92753
960000 1.99325
970000 1.99937
980000 1.98653
990000 1.96925
1000000 1.94485
1010000 1.9147
1020000 1.8754
1030000 1.82826
1040000 1.77871
1050000 1.7155
1060000 1.63919
1070000 1.5486
1080000 1.44298
1090000 1.32625
1100000 1.20938
1110000 1.09955
1120000 1.06032
1130000 1.10914
1140000 1.15441
1150000 1.20034
1160000 1.24713
1170000 1.30047
1180000 1.34723
1190000 1.40267
1200000 1.46164
1210000 1.50759
1220000 1.5568
1230000 1.6047
1240000 1.65497
1250000 1.70087
1260000 1.74448
1270000 1.79335
1280000 1.84768
1290000 1.89384
1300000 1.94436
1310000 1.98795
1320000 2.03202
1330000 2.07341
1340000 2.11488
1350000 2.15415
1360000 2.19676
1370000 2.23964
1380000 2.27856
1390000 2.31772
1400000 2.34563
1410000 2.32935
1420000 2.34001
1430000 2.37629
1440000 2.41211
1450000 2.44555
1460000 2.4822
1470000 2.51393
1480000 2.54246
1490000 2.57595
1500000 2.6086
1510000 2.64288
1520000 2.67491
1530000 2.70898
1540000 2.7392
1550000 2.76996
1560000 2.80079
1570000 2.83032
1580000 2.85747
1590000 2.88581
1600000 2.91374
1610000 2.91792
1620000 2.91166
1630000 2.90381
1640000 2.89502
1650000 2.88349
1660000 2.86992
1670000 2.85358
1680000 2.83696
1690000 2.81356
1700000 2.79155
1710000 2.80102
1720000 2.83011
1730000 2.86094
1740000 2.89076
1750000 2.92241
1760000 2.95192
1770000 2.98351
1780000 3.01399
1790000 3.04367
1800000 3.07194
1810000 3.10134
1820000 3.12995
1830000 3.1567
1840000 3.18488
1850000 3.20797
1860000 3.23075
1870000 3.25224
1880000 3.27449
1890000 3.2984
1900000 3.32169
1910000 3.34841
1920000 3.36805
1930000 3.35972
1940000 3.34933
1950000 3.33749
1960000 3.3247
1970000 3.31083
1980000 3.29578
1990000 3.27538
2000000 3.25249
