#time deltaF
0 0
10000 16.1429
20000 16.0434
30000 -2.35658
40000 -11.1556
50000 -11.9265
60000 -6.10397
70000 -2.2203
80000 0.442139
90000 2.58768
100000 4.41421
110000 5.95952
120000 7.27015
130000 8.41162
140000 9.45954
150000 10.4343
160000 11.2293
170000 11.9881
180000 12.6647
190000 13.266
200000 13.8193
210000 14.3601
220000 14.5108
230000 12.1982
240000 10.1415
250000 8.29572
260000 6.61966
270000 5.0845
280000 3.70097
290000 3.78427
300000 4.4488
310000 5.0128
320000 5.5773
330000 6.09171
340000 6.57171
350000 7.06304
360000 7.51503
370000 7.91063
380000 8.31882
390000 8.70587
400000 9.06629
410000 9.43567
420000 9.7819
430000 10.1134
440000 10.4255
450000 10.7326
460000 11.04
470000 11.3351
480000 11.6046
490000 11.8683
500000 12.1261
510000 12.3551
520000 12.605
530000 12.8415
540000 13.0618
550000 13.2993
560000 13.5072
570000 13.0104
580000 12.1161
590000 11.2505
600000 10.4266
610000 9.64927
620000 8.9018
630000 8.17931
640000 8.2859
650000 8.53218
660000 8.77067
670000 8.98235
680000 9.2167
690000 9.44793
700000 9.64704
710000 9.86034
720000 10.0591
730000 10.2508
740000 10.441
750000 10.5047
760000 9.879
770000 9.27148
780000 8.68438
790000 8.11469
800000 7.55971
810000 7.02673
820000 6.50076
830000 5.9954
840000 5.49883
850000 5.018
860000 4.54768
870000 4.08907
880000 3.63397
890000 3.20349
900000 2.78337
910000 2.36901
920000 1.97019
930000 1.57586
940000 1.18417
950000 0.823924
960000 1.07057
970000 1.29972
980000 1.52417
990000 1.74397
1000000 1.96232
1010000 2.18617
1020000 2.38667
1030000 2.57976
1040000 2.78028
1050000 2.97369
1060000 3.17323
1070000 3.36541
1080000 3.54383
1090000 3.72424
1100000 3.9028
1110000 4.08006
1120000 4.2455
1130000 4.41151
1140000 4.5785
1150000 4.74328
1160000 4.89928
1170000 5.05914
1180000 5.21079
1190000 5.35997
1200000 5.50959
1210000 5.65333
1220000 5.79509
1230000 5.93633
1240000 6.06893
1250000 6.19862
1260000 6.33033
1270000 6.46931
1280000 6.59776
1290000 6.72122
1300000 6.8457
1310000 6.97099
1320000 7.09813
1330000 7.22165
1340000 7.33989
1350000 7.45527
1360000 7.56882
1370000 7.68541
1380000 7.7963
1390000 7.90416
1400000 8.01587
1410000 8.11918
1420000 8.22406
1430000 8.32809
1440000 8.43351
1450000 8.53645
1460000 8.48273
1470000 8.1801
1480000 7.88475
1490000 7.59279
1500000 7.30927
1510000 7.03193
1520000 6.75691
1530000 6.48825
1540000 6.22046
1550000 5.95184
1560000 5.69021
1570000 5.63182
1580000 5.74755
1590000 5.84959
1600000 5.95174
1610000 6.06601
1620000 6.17217
1630000 6.28007
1640000 6.38501
1650000 6.4909
1660000 6.59167
1670000 6.68944
1680000 6.58935
1690000 6.33882
1700000 6.09691
1710000 5.8632
1720000 5.62961
1730000 5.39469
1740000 5.16466
1750000 4.94101
1760000 4.71809
1770000 4.50206
1780000 4.2842
1790000 4.07526
1800000 3.86358
1810000 3.6561
1820000 3.44969
1830000 3.24428
1840000 3.0398
1850000 2.83897
1860000 2.64553
1870000 2.45022
1880000 2.25545
1890000 2.06242
1900000 1.87433
1910000 1.68794
1920000 1.50486
1930000 1.32322
1940000 1.14213
1950000 0.964193
1960000 0.785
1970000 0.609756
1980000 0.438307
1990000 0.266397
2000000 0.0930086
