#time deltaF
0 0
10000 6.16243
20000 8.52615
30000 10.2413
40000 11.6162
50000 12.7694
60000 13.7678
70000 14.6475
80000 15.433
90000 16.1416
100000 16.7859
110000 17.3732
120000 17.6673
130000 17.6118
140000 17.3327
150000 16.947
160000 16.6297
170000 16.3806
180000 16.1875
190000 16.0411
200000 15.9273
210000 15.7471
220000 15.4852
230000 15.1591
240000 14.7825
250000 14.3662
260000 13.9193
270000 13.4488
280000 12.9629
290000 12.4725
300000 11.971
310000 11.4615
320000 10.9469
330000 10.4334
340000 9.95757
350000 9.52384
360000 9.12863
370000 8.76874
380000 8.44131
390000 8.14363
400000 7.87336
410000 7.62837
420000 7.40678
430000 7.20684
440000 7.027
450000 6.86575
460000 6.72178
470000 6.59389
480000 6.48095
490000 6.38188
500000 6.29577
510000 6.22177
520000 6.15907
530000 6.10688
540000 6.06452
550000 6.03134
560000 6.00677
570000 5.99025
580000 5.98127
590000 5.97934
600000 5.98403
610000 5.9949
620000 6.0116
630000 6.03374
640000 6.06097
650000 6.093
660000 6.12951
670000 6.17025
680000 6.21495
690000 6.26337
700000 6.31527
710000 6.37042
720000 6.42863
730000 6.48973
740000 6.55351
750000 6.6198
760000 6.68845
770000 6.75932
780000 6.83223
790000 6.90705
800000 6.98366
810000 7.06194
820000 7.1418
830000 7.22312
840000 7.30577
850000 7.38965
860000 7.47467
870000 7.56078
880000 7.64788
890000 7.7359
900000 7.82474
910000 7.91433
920000 8.00465
930000 8.09563
940000 8.18719
950000 8.27929
960000 8.37188
970000 8.46489
980000 8.55828
990000 8.65201
1000000 8.74603
1010000 8.84029
1020000 8.93475
1030000 9.02939
1040000 9.12417
1050000 9.21904
1060000 9.31398
1070000 9.40897
1080000 9.50015
1090000 9.58167
1100000 9.65385
1110000 9.71708
1120000 9.77169
1130000 9.81804
1140000 9.85645
1150000 9.88719
1160000 9.91057
1170000 9.92685
1180000 9.93628
1190000 9.93913
1200000 9.93563
1210000 9.92605
1220000 9.91059
1230000 9.88947
1240000 9.8629
1250000 9.83106
1260000 9.79414
1270000 9.75235
1280000 9.70609
1290000 9.66061
1300000 9.61786
1310000 9.57454
1320000 9.52679
1330000 9.47472
1340000 9.4185
1350000 9.35828
1360000 9.29426
1370000 9.22653
1380000 9.15523
1390000 9.08046
1400000 9.00236
1410000 8.92101
1420000 8.83849
1430000 8.75899
1440000 8.6826
1450000 8.60922
1460000 8.5388
1470000 8.47126
1480000 8.40653
1490000 8.34454
1500000 8.28523
1510000 8.22853
1520000 8.17437
1530000 8.1227
1540000 8.07345
1550000 8.02656
1560000 7.98198
1570000 7.93964
1580000 7.89949
1590000 7.86149
1600000 7.82558
1610000 7.79171
1620000 7.75982
1630000 7.72989
1640000 7.70184
1650000 7.67565
1660000 7.65127
1670000 7.62865
1680000 7.60776
1690000 7.58855
1700000 7.57098
1710000 7.55502
1720000 7.54062
1730000 7.52776
1740000 7.51639
1750000 7.50647
1760000 7.49797
1770000 7.49087
1780000 7.48512
1790000 7.4807
1800000 7.47757
1810000 7.4757
1820000 7.47507
1830000 7.47563
1840000 7.47737
1850000 7.48026
1860000 7.48427
1870000 7.48936
1880000 7.49552
1890000 7.50273
1900000 7.51095
1910000 7.52017
1920000 7.53036
1930000 7.5415
1940000 7.55355
1950000 7.5665
1960000 7.58033
1970000 7.59502
1980000 7.61054
1990000 7.62688
2000000 7.64402
