#time deltaF
300000 0
310000 -0.109381
320000 -0.16057
330000 -0.209445
340000 -0.225984
350000 -0.194881
360000 -0.160588
370000 -0.108253
380000 -0.134648
390000 -0.139928
400000 21.6264
410000 21.8994
420000 22.1503
430000 22.3894
440000 22.6388
450000 22.8376
460000 23.0207
470000 23.198
480000 23.3555
490000 23.4975
500000 23.6407
510000 23.7962
520000 23.9109
530000 24.0091
540000 23.262
550000 23.3802
560000 22.9426
570000 22.8366
580000 22.4417
590000 22.4071
600000 22.492
610000 22.5875
620000 22.5708
630000 22.5597
640000 22.6383
650000 22.5716
660000 22.5848
670000 22.5956
680000 22.663
690000 22.6709
700000 22.5552
710000 22.4647
720000 22.4484
730000 22.4608
740000 22.4588
750000 22.3536
760000 22.3273
770000 22.3116
780000 22.3421
790000 22.3859
800000 22.3686
810000 19.5218
820000 17.6613
830000 16.3814
840000 15.3404
850000 14.5098
860000 13.7133
870000 12.9804
880000 12.358
890000 12.2408
900000 12.2939
910000 12.3431
920000 12.3871
930000 12.425
940000 12.4739
950000 12.5175
960000 12.5649
970000 12.6117
980000 12.6548
990000 12.6946
1000000 12.7352
1010000 12.7766
1020000 12.8221
1030000 12.8512
1040000 12.8776
1050000 12.9125
1060000 12.9534
1070000 12.9917
1080000 13.0266
1090000 13.059
1100000 13.0883
1110000 13.1192
1120000 13.1483
1130000 13.1786
1140000 13.2118
1150000 13.0982
1160000 12.9077
1170000 12.7021
1180000 12.4722
1190000 12.2506
1200000 11.9995
1210000 11.7567
1220000 11.4953
1230000 11.2187
1240000 10.9509
1250000 10.671
1260000 10.4019
1270000 10.1149
1280000 9.83942
1290000 9.57101
1300000 9.28582
1310000 9.00399
1320000 8.74456
1330000 8.50144
1340000 8.46128
1350000 8.49995
1360000 8.53345
1370000 8.56553
1380000 8.59904
1390000 8.63164
1400000 8.66788
1410000 8.70043
1420000 8.73397
1430000 8.76478
1440000 8.79409
1450000 8.82468
1460000 8.85617
1470000 8.88744
1480000 8.91855
1490000 8.94935
1500000 8.97371
1510000 9.00052
1520000 9.02861
1530000 9.05742
1540000 9.08669
1550000 9.11215
1560000 9.14227
1570000 9.17143
1580000 9.19972
1590000 9.22383
1600000 9.25143
1610000 9.27602
1620000 9.2985
1630000 9.31952
1640000 9.33709
1650000 9.34473
1660000 9.30882
1670000 9.33384
1680000 9.3558
1690000 9.38061
1700000 9.40386
1710000 9.42483
1720000 9.44574
1730000 9.46769
1740000 9.48931
1750000 9.5111
1760000 9.53234
1770000 9.55367
1780000 9.57352
1790000 9.59517
1800000 9.61525
1810000 9.63699
1820000 9.66068
1830000 9.6808
1840000 9.7025
1850000 9.72235
1860000 9.74388
1870000 9.76319
1880000 9.78277
1890000 9.80005
1900000 9.81721
1910000 9.83813
1920000 9.85645
1930000 9.87352
1940000 9.89109
1950000 9.90812
1960000 9.92873
1970000 9.9467
1980000 9.96254
1990000 9.92546
2000000 9.88364
