#time deltaF
300000 0
310000 21.9017
320000 20.7162
330000 20.8444
340000 21.5684
350000 22.1869
360000 22.5733
370000 22.9039
380000 22.4823
390000 22.83
400000 22.5308
410000 22.7741
420000 22.9889
430000 23.1984
440000 23.3579
450000 22.6624
460000 22.8049
470000 22.3422
480000 22.2085
490000 22.3458
500000 22.4752
510000 22.3671
520000 22.4718
530000 22.3801
540000 22.4757
550000 22.5762
560000 22.1967
570000 22.3071
580000 22.4137
590000 22.3729
600000 14.8397
610000 13.1057
620000 12.1491
630000 11.4306
640000 10.9007
650000 10.4527
660000 10.0767
670000 9.73813
680000 9.43253
690000 9.15674
700000 8.88666
710000 8.66038
720000 8.43341
730000 8.31905
740000 8.39928
750000 8.47803
760000 8.56484
770000 8.6557
780000 8.71804
790000 8.79107
800000 8.86829
810000 8.93925
820000 9.01332
830000 9.08075
840000 9.14702
850000 9.20493
860000 9.26315
870000 9.14578
880000 8.87764
890000 8.6468
900000 8.4251
910000 8.2358
920000 8.04002
930000 7.84817
940000 7.66015
950000 7.49652
960000 7.32439
970000 7.17101
980000 7.01313
990000 6.85427
1000000 6.71388
1010000 6.57027
1020000 6.43279
1030000 6.42053
1040000 6.4749
1050000 6.52476
1060000 6.58001
1070000 6.62856
1080000 6.68467
1090000 6.74236
1100000 6.79482
1110000 6.84797
1120000 6.9046
1130000 6.95341
1140000 6.99675
1150000 7.03856
1160000 7.08992
1170000 7.13766
1180000 7.17642
1190000 7.22336
1200000 7.25875
1210000 7.29583
1220000 7.34096
1230000 7.37742
1240000 7.41587
1250000 7.45412
1260000 7.49576
1270000 7.53474
1280000 7.56933
1290000 7.60657
1300000 7.64703
1310000 7.68313
1320000 7.71647
1330000 7.7499
1340000 7.7777
1350000 7.81091
1360000 7.84051
1370000 7.87257
1380000 7.8992
1390000 7.9269
1400000 7.9612
1410000 7.98887
1420000 8.01251
1430000 8.0427
1440000 8.06695
1450000 8.09573
1460000 8.12123
1470000 8.14773
1480000 8.1741
1490000 8.2028
1500000 8.2277
1510000 8.25059
1520000 8.28081
1530000 8.30995
1540000 8.33802
1550000 8.36296
1560000 8.38864
1570000 8.41506
1580000 8.43984
1590000 8.46316
1600000 8.4894
1610000 8.51551
1620000 8.53919
1630000 8.56414
1640000 8.58975
1650000 8.61696
1660000 8.63913
1670000 8.66708
1680000 8.68784
1690000 8.70965
1700000 8.73068
1710000 8.75302
1720000 8.77579
1730000 8.80163
1740000 8.82378
1750000 8.84406
1760000 8.86936
1770000 8.89059
1780000 8.91297
1790000 8.93462
1800000 8.95585
1810000 8.97883
1820000 8.99962
1830000 9.02223
1840000 9.03746
1850000 9.05712
1860000 9.07868
1870000 9.09876
1880000 9.11785
1890000 9.13766
1900000 9.1592
1910000 9.17993
1920000 9.19771
1930000 9.21505
1940000 9.23225
1950000 9.252
1960000 9.27168
1970000 9.28884
1980000 9.30638
1990000 9.32508
2000000 9.34216
