#from: ~/storage/scratch/ves_deltaF/model/metad/bck.0.fes_running/fes_running.t-128000.data and fes_running.t-177000.data
# cv_bin  fes  bias	# cv_bin  fes  bias
  -3.000000000   35.911226232  -32.320103608	  -3.000000000   36.038642521  -32.434778269
  -2.939393939   31.024624220  -27.922161798	  -2.939393939   31.099357837  -27.989422053
  -2.878787879   26.437505581  -23.793755023	  -2.878787879   26.483068010  -23.834761209
  -2.818181818   22.256478849  -20.030830964	  -2.818181818   22.293100466  -20.063790419
  -2.757575758   18.549938638  -16.694944774	  -2.757575758   18.592679955  -16.733411959
  -2.696969697   15.345222138  -13.810699925	  -2.696969697   15.402939037  -13.862645133
  -2.636363636   12.631385119  -11.368246607	  -2.636363636   12.706672209  -11.436004988
  -2.575757576   10.366700577   -9.330030519	  -2.575757576   10.456752767   -9.411077491
  -2.515151515    8.489220207   -7.640298186	  -2.515151515    8.587390825   -7.728651743
  -2.454545455    6.928371199   -6.235534079	  -2.454545455    7.026099075   -6.323489167
  -2.393939394    5.615628475   -5.054065627	  -2.393939394    5.704373907   -5.133936516
  -2.333333333    4.492740183   -4.043466165	  -2.333333333    4.565609835   -4.109048851
  -2.272727273    3.516650750   -3.164985675	  -2.272727273    3.569487307   -3.212538576
  -2.212121212    2.660987879   -2.394889091	  -2.212121212    2.692825091   -2.423542582
  -2.151515152    1.914598832   -1.723138949	  -2.151515152    1.927507468   -1.734756721
  -2.090909091    1.278027594   -1.150224835	  -2.090909091    1.276478513   -1.148830661
  -2.030303030    0.758975866   -0.683078279	  -2.030303030    0.748907620   -0.674016858
  -1.969696970    0.367710911   -0.330939820	  -1.969696970    0.355506131   -0.319955517
  -1.909090909    0.113144174   -0.101829757	  -1.909090909    0.104696175   -0.094226557
  -1.848484848    0.000000000    0.000000000	  -1.848484848    0.000000000    0.000000000
  -1.787878788    0.027210094   -0.024489084	  -1.787878788    0.038720682   -0.034848614
  -1.727272727    0.187462931   -0.168716638	  -1.727272727    0.211779430   -0.190601487
  -1.666666667    0.467724434   -0.420951990	  -1.666666667    0.504473941   -0.454026547
  -1.606060606    0.850507064   -0.765456358	  -1.606060606    0.897902238   -0.808112014
  -1.545454545    1.315659900   -1.184093910	  -1.545454545    1.370812940   -1.233731646
  -1.484848485    1.842445219   -1.658200697	  -1.484848485    1.901654662   -1.711489196
  -1.424242424    2.411640890   -2.170476801	  -1.424242424    2.470584686   -2.223526217
  -1.363636364    3.007373201   -2.706635881	  -1.363636364    3.061169484   -2.755052535
  -1.303030303    3.618372909   -3.256535618	  -1.303030303    3.661499170   -3.295349253
  -1.242424242    4.238393549   -3.814554194	  -1.242424242    4.264480804   -3.838032723
  -1.181818182    4.865653989   -4.379088590	  -1.181818182    4.867192728   -4.380473455
  -1.121212121    5.501356490   -4.951220841	  -1.121212121    5.469364736   -4.922428262
  -1.060606061    6.147545719   -5.532791147	  -1.060606061    6.071256844   -5.464131160
  -1.000000000    6.804754287   -6.124278858	  -1.000000000    6.671383925   -6.004245532
  -0.939393939    7.469969326   -6.722972393	  -0.939393939    7.264617090   -6.538155381
  -0.878787879    8.135417828   -7.321876046	  -0.878787879    7.841150566   -7.057035509
  -0.818181818    8.788506254   -7.909655628	  -0.818181818    8.386654793   -7.547989314
  -0.757575758    9.412997490   -8.471697741	  -0.757575758    8.883678511   -7.995310660
  -0.696969697    9.991225707   -8.992103136	  -0.696969697    9.314075447   -8.382667902
  -0.636363636   10.506904515   -9.456214064	  -0.636363636    9.661984147   -8.695785732
  -0.575757576   10.947934179   -9.853140761	  -0.575757576    9.916741441   -8.925067297
  -0.515151515   11.308594536  -10.177735082	  -0.515151515   10.075096902   -9.067587211
  -0.454545455   11.590627586  -10.431564827	  -0.454545455   10.142222569   -9.128000312
  -0.393939394   11.802943425  -10.622649083	  -0.393939394   10.131253862   -9.118128476
  -0.333333333   11.959976856  -10.763979171	  -0.333333333   10.061403233   -9.055262910
  -0.272727273   12.079016095  -10.871114485	  -0.272727273    9.954992035   -8.959492831
  -0.212121212   12.177053104  -10.959347794	  -0.212121212    9.833980204   -8.850582184
  -0.151515152   12.267812854  -11.041031569	  -0.151515152    9.716682605   -8.745014344
  -0.090909091   12.359576832  -11.123619149	  -0.090909091    9.615316179   -8.653784561
  -0.030303030   12.454230004  -11.208807004	  -0.030303030    9.534830160   -8.581347144
   0.030303030   12.547671955  -11.292904759	   0.030303030    9.473175763   -8.525858187
   0.090909091   12.631412430  -11.368271187	   0.090909091    9.422843605   -8.480559244
   0.151515152   12.694900532  -11.425410479	   0.151515152    9.373218992   -8.435897093
   0.212121212   12.727986340  -11.455187706	   0.212121212    9.313148359   -8.381833524
   0.272727273   12.722923201  -11.450630881	   0.272727273    9.233113877   -8.309802489
   0.333333333   12.675483528  -11.407935175	   0.333333333    9.126572686   -8.213915417
   0.393939394   12.585031419  -11.326528277	   0.393939394    8.990283110   -8.091254799
   0.454545455   12.453691486  -11.208322337	   0.454545455    8.823732898   -7.941359608
   0.515151515   12.284987974  -11.056489177	   0.515151515    8.628017688   -7.765215919
   0.575757576   12.082434582  -10.874191124	   0.575757576    8.404625306   -7.564162775
   0.636363636   11.848508228  -10.663657405	   0.636363636    8.154538502   -7.339084652
   0.696969697   11.584264198  -10.425837778	   0.696969697    7.877899859   -7.090109873
   0.757575758   11.289611511  -10.160650360	   0.757575758    7.574253220   -6.816827898
   0.818181818   10.964050262   -9.867645236	   0.818181818    7.243168924   -6.518852032
   0.878787879   10.607549513   -9.546794562	   0.878787879    6.884946745   -6.196452070
   0.939393939   10.221250235   -9.199125212	   0.939393939    6.501104505   -5.850994054
   1.000000000    9.807799148   -8.827019233	   1.000000000    6.094487512   -5.485038761
   1.060606061    9.371299957   -8.434169961	   1.060606061    5.669017541   -5.102115787
   1.121212121    8.917033280   -8.025329952	   1.121212121    5.229264685   -4.706338216
   1.181818182    8.451180491   -7.606062442	   1.181818182    4.780105871   -4.302095284
   1.242424242    7.980760311   -7.182684279	   1.242424242    4.326700382   -3.894030344
