#from ~/storage/scratch/ves_deltaF/model/ves-new
#! FIELDS p.x file.free der_p.x	#! FIELDS p.x file.free der_p.x
#! SET min_p.x -3	#! SET min_p.x -3
#! SET max_p.x 3	#! SET max_p.x 3
#! SET nbins_p.x  301	#! SET nbins_p.x  301
#! SET periodic_p.x false	#! SET periodic_p.x false
-3.000000000 20.3706 -10.9636	-3.000000000 14.2529 0
-2.980000000 20.1426 -11.816	-2.980000000 14.2529 0
-2.960000000 19.8962 -12.7062	-2.960000000 14.2529 0
-2.940000000 19.6327 -13.6139	-2.940000000 14.2529 0
-2.920000000 19.3499 -14.5501	-2.920000000 14.2529 0
-2.900000000 19.0491 -15.4944	-2.900000000 14.2529 0
-2.880000000 18.7291 -16.452	-2.880000000 14.2529 0
-2.860000000 18.3898 -17.4166	-2.860000000 14.2529 0
-2.840000000 18.0306 -18.3869	-2.840000000 14.2529 0
-2.820000000 17.6525 -19.3467	-2.820000000 14.2529 0
-2.800000000 17.2557 -20.2902	-2.800000000 14.2529 0
-2.780000000 16.8396 -21.2199	-2.780000000 14.2529 0
-2.760000000 16.4051 -22.1246	-2.760000000 14.2529 0
-2.740000000 15.9524 -22.9999	-2.740000000 14.2529 0
-2.720000000 15.4832 -23.8297	-2.720000000 14.2529 0
-2.700000000 14.9983 -24.6073	-2.700000000 14.2529 0
-2.680000000 14.4985 -25.3277	-2.680000000 14.2529 0
-2.660000000 13.9842 -25.9922	-2.660000000 14.2529 0
-2.640000000 13.458 -26.5811	-2.640000000 14.2529 0
-2.620000000 12.9193 -27.1094	-2.620000000 14.2529 0
-2.600000000 12.3721 -27.545	-2.600000000 14.2529 0
-2.580000000 11.8169 -27.8949	-2.580000000 14.2529 0
-2.560000000 11.256 -28.1504	-2.560000000 14.2529 0
-2.540000000 10.6908 -28.3108	-2.540000000 14.2529 0
-2.520000000 10.123 -28.3761	-2.520000000 14.2529 0
-2.500000000 9.55529 -28.3369	-2.500000000 14.2529 0
-2.480000000 8.98836 -28.2051	-2.480000000 14.2529 0
-2.460000000 8.42572 -27.9652	-2.460000000 14.2529 0
-2.440000000 7.8684 -27.6283	-2.440000000 14.2529 0
-2.420000000 7.31979 -27.1815	-2.420000000 14.2529 0
-2.400000000 6.78027 -26.644	-2.400000000 14.2529 0
-2.380000000 6.25341 -26.0023	-2.380000000 14.2529 0
-2.360000000 5.74032 -25.2684	-2.360000000 14.2529 0
-2.340000000 5.24278 -24.4474	-2.340000000 14.2529 0
-2.320000000 4.76244 -23.5454	-2.320000000 14.2529 0
-2.300000000 4.30097 -22.5679	-2.300000000 14.2529 0
-2.280000000 3.85945 -21.5253	-2.280000000 14.2529 0
-2.260000000 3.43926 -20.4244	-2.260000000 14.2529 0
-2.240000000 3.04149 -19.2736	-2.240000000 14.2529 0
-2.220000000 2.66769 -18.075	-2.220000000 14.2529 0
-2.200000000 2.31813 -16.8428	-2.200000000 14.2529 0
-2.180000000 1.99364 -15.5835	-2.180000000 14.2529 0
-2.160000000 1.69421 -14.3103	-2.160000000 14.2529 0
-2.140000000 1.4196 -13.037	-2.140000000 14.2529 0
-2.120000000 1.1716 -11.7544	-2.120000000 14.2529 0
-2.100000000 0.94904 -10.4816	-2.100000000 14.2529 0
-2.080000000 0.75084 -9.23503	-2.080000000 14.2529 0
-2.060000000 0.578063 -8.00652	-2.060000000 14.2529 0
-2.040000000 0.429846 -6.80602	-2.040000000 14.2523 -0.00585545
-2.020000000 0.304708 -5.64763	-2.020000000 14.2522 -0.00705639
-2.000000000 0.202868 -4.52629	-2.000000000 14.2521 -0.00847368
-1.980000000 0.122824 -3.45271	-1.980000000 14.2519 -0.0101397
-1.960000000 0.0636631 -2.42989	-1.960000000 14.2517 -0.0120903
-1.940000000 0.0234867 -1.46948	-1.940000000 14.2514 -0.014365
-1.920000000 0.00297875 -0.55523	-1.920000000 14.2511 -0.0170068
-1.900000000 0 0.301092	-1.900000000 14.2507 -0.0200626
-1.880000000 0.0138388 1.1034	-1.880000000 14.2503 -0.0235827
-1.860000000 0.0431505 1.84982	-1.860000000 14.2498 -0.0276207
-1.840000000 0.0862387 2.53539	-1.840000000 14.2481 -0.0436118
-1.820000000 0.142914 3.17109	-1.820000000 14.2471 -0.0512078
-1.800000000 0.212315 3.76091	-1.800000000 14.246 -0.0599262
-1.780000000 0.293033 4.30321	-1.780000000 14.2447 -0.0698944
-1.760000000 0.383376 4.79335	-1.760000000 14.2427 -0.0866543
-1.740000000 0.483544 5.24564	-1.740000000 14.2408 -0.100645
-1.720000000 0.592691 5.66314	-1.720000000 14.2386 -0.116512
-1.700000000 0.709844 6.04691	-1.700000000 14.2361 -0.134437
-1.680000000 0.833498 6.39187	-1.680000000 14.2332 -0.154608
-1.660000000 0.964249 6.71379	-1.660000000 14.2299 -0.177219
-1.640000000 1.10158 7.01601	-1.640000000 14.2261 -0.202464
-1.620000000 1.24407 7.29161	-1.620000000 14.2218 -0.230536
-1.600000000 1.39258 7.55635	-1.600000000 14.2169 -0.261627
-1.580000000 1.54616 7.80645	-1.580000000 14.2113 -0.295918
-1.560000000 1.70459 8.04468	-1.560000000 14.205 -0.333579
-1.540000000 1.86733 8.26969	-1.540000000 14.197 -0.384885
-1.520000000 2.03486 8.48996	-1.520000000 14.1886 -0.434336
-1.500000000 2.20567 8.69276	-1.500000000 14.1794 -0.485929
-1.480000000 2.3816 8.8994	-1.480000000 14.168 -0.552819
-1.460000000 2.56161 9.10072	-1.460000000 14.1554 -0.624774
-1.440000000 2.74515 9.2924	-1.440000000 14.1422 -0.69431
-1.420000000 2.93291 9.48255	-1.420000000 14.1276 -0.769251
-1.400000000 3.12441 9.66707	-1.400000000 14.111 -0.854309
-1.380000000 3.31874 9.83435	-1.380000000 14.0918 -0.953932
-1.360000000 3.51724 10.0031	-1.360000000 14.0718 -1.04928
-1.340000000 3.71764 10.1481	-1.340000000 14.0496 -1.1532
-1.320000000 3.9223 10.2912	-1.320000000 14.0248 -1.26757
-1.300000000 4.12966 10.4156	-1.300000000 13.9983 -1.38349
-1.280000000 4.33989 10.5376	-1.280000000 13.9695 -1.50589
-1.260000000 4.551 10.6427	-1.260000000 13.9381 -1.63469
-1.240000000 4.76499 10.7386	-1.240000000 13.904 -1.76974
-1.220000000 4.9808 10.8167	-1.220000000 13.8672 -1.91086
-1.200000000 5.19744 10.8787	-1.200000000 13.8276 -2.05777
-1.180000000 5.41671 10.9208	-1.180000000 13.7846 -2.2134
-1.160000000 5.63629 10.9522	-1.160000000 13.7387 -2.37157
-1.140000000 5.85691 10.9627	-1.140000000 13.6891 -2.54009
-1.120000000 6.07597 10.9583	-1.120000000 13.6359 -2.71642
-1.100000000 6.29573 10.9442	-1.100000000 13.5795 -2.89322
-1.080000000 6.51461 10.9097	-1.080000000 13.5199 -3.07146
-1.060000000 6.73363 10.8601	-1.060000000 13.4567 -3.25287
-1.040000000 6.95105 10.7953	-1.040000000 13.3898 -3.43682
-1.020000000 7.16642 10.7147	-1.020000000 13.3181 -3.63323
-1.000000000 7.38008 10.6237	-1.000000000 13.2427 -3.83095
-0.980000000 7.59275 10.519	-0.980000000 13.1637 -4.02722
-0.960000000 7.80231 10.4083	-0.960000000 13.0807 -4.22511
-0.940000000 8.01034 10.2901	-0.940000000 12.994 -4.42139
-0.920000000 8.21572 10.1657	-0.920000000 12.9036 -4.61421
-0.900000000 8.41991 10.0196	-0.900000000 12.8089 -4.8104
-0.880000000 8.61946 9.87483	-0.880000000 12.7104 -5.00418
-0.860000000 8.81701 9.72471	-0.860000000 12.6085 -5.19117
-0.840000000 9.01142 9.57087	-0.840000000 12.5028 -5.37408
-0.820000000 9.20394 9.40013	-0.820000000 12.3935 -5.552
-0.800000000 9.39089 9.2377	-0.800000000 12.2808 -5.72401
-0.780000000 9.57465 9.07992	-0.780000000 12.1646 -5.88914
-0.760000000 9.75562 8.91266	-0.760000000 12.0452 -6.04642
-0.740000000 9.93141 8.73426	-0.740000000 11.9228 -6.19485
-0.720000000 10.1054 8.5467	-0.720000000 11.7966 -6.34275
-0.700000000 10.2758 8.36214	-0.700000000 11.6682 -6.47478
-0.680000000 10.4416 8.16628	-0.680000000 11.5372 -6.59618
-0.660000000 10.6037 7.97874	-0.660000000 11.4042 -6.70271
-0.640000000 10.7621 7.7841	-0.640000000 11.2692 -6.79586
-0.620000000 10.9163 7.58843	-0.620000000 11.1324 -6.87469
-0.600000000 11.0666 7.38862	-0.600000000 10.9943 -6.93829
-0.580000000 11.2129 7.16422	-0.580000000 10.8545 -6.99101
-0.560000000 11.3549 6.94411	-0.560000000 10.7143 -7.02265
-0.540000000 11.492 6.72815	-0.540000000 10.5737 -7.03678
-0.520000000 11.6252 6.51196	-0.520000000 10.4326 -7.03666
-0.500000000 11.7538 6.29608	-0.500000000 10.291 -7.02541
-0.480000000 11.8779 6.08172	-0.480000000 10.1508 -6.98645
-0.460000000 11.9989 5.85522	-0.460000000 10.0117 -6.92835
-0.440000000 12.1144 5.64194	-0.440000000 9.87366 -6.85271
-0.420000000 12.2258 5.41602	-0.420000000 9.73716 -6.76006
-0.400000000 12.3325 5.21117	-0.400000000 9.60235 -6.65219
-0.380000000 12.4353 5.00921	-0.380000000 9.47019 -6.52368
-0.360000000 12.5344 4.81227	-0.360000000 9.34064 -6.37874
-0.340000000 12.63 4.61994	-0.340000000 9.21383 -6.2203
-0.320000000 12.7215 4.44223	-0.320000000 9.09122 -6.03751
-0.300000000 12.8092 4.28037	-0.300000000 8.97119 -5.85132
-0.280000000 12.8944 4.12337	-0.280000000 8.85516 -5.65089
-0.260000000 12.9767 3.98173	-0.260000000 8.74435 -5.42781
-0.240000000 13.0565 3.85264	-0.240000000 8.63813 -5.19253
-0.220000000 13.1335 3.74434	-0.220000000 8.5361 -4.95269
-0.200000000 13.208 3.65755	-0.200000000 8.43958 -4.69842
-0.180000000 13.2809 3.58844	-0.180000000 8.34807 -4.43794
-0.160000000 13.3532 3.52875	-0.160000000 8.26198 -4.17019
-0.140000000 13.4238 3.49429	-0.140000000 8.18129 -3.89806
-0.120000000 13.4952 3.46282	-0.120000000 8.10555 -3.62864
-0.100000000 13.5651 3.46187	-0.100000000 8.03535 -3.35775
-0.080000000 13.6352 3.47619	-0.080000000 7.97054 -3.08888
-0.060000000 13.7055 3.50948	-0.060000000 7.911 -2.82435
