#from: ~/storage/scratch/ves_deltaF/model/metad/bck.0.deltaF.data
#time DeltaF
0 0
1000 3.615457984
2000 12.611518583
3000 2.698063544
4000 0.361437340
5000 4.773825769
6000 7.519533736
7000 9.608840203
8000 6.502065282
9000 4.010056488
10000 3.699169972
11000 1.958720960
12000 0.146911859
13000 0.007306898
14000 0.883576099
15000 2.314140482
16000 3.590840803
17000 4.692105358
18000 5.364451012
19000 4.162587578
20000 3.119660956
21000 2.094377061
22000 2.173529596
23000 3.066518129
24000 3.922701381
25000 4.696494564
26000 5.332405428
27000 5.911810317
28000 6.532698420
29000 7.139758173
30000 7.649707633
31000 8.149593771
32000 7.403043614
33000 6.625516447
34000 5.784527948
35000 5.015290754
36000 4.475165710
37000 3.870904439
38000 3.253879517
39000 2.715132507
40000 2.299708012
41000 1.837862732
42000 1.469507081
43000 1.018672845
44000 1.247142519
45000 1.791373125
46000 1.692775256
47000 1.239947529
48000 0.831522629
49000 0.572368447
50000 0.388319819
51000 0.574429833
52000 1.041014933
53000 1.491591870
54000 1.915615055
55000 2.323329914
56000 2.695505172
57000 3.051193813
58000 3.381406097
59000 3.694507069
60000 4.044597897
61000 4.343416225
62000 4.107554066
63000 3.720314945
64000 3.413316508
65000 3.059411053
66000 2.735833761
67000 2.550114692
68000 2.848725107
69000 3.126592242
70000 3.423093037
71000 3.103555835
72000 2.875696140
73000 2.608603279
74000 2.338478471
75000 2.045411848
76000 1.797457984
77000 1.741550302
78000 2.022396910
79000 2.301503341
80000 2.556320615
81000 2.802262165
82000 3.049819825
83000 3.319891835
84000 3.124613290
85000 2.901721030
86000 2.845339555
87000 3.079533079
88000 3.312224255
89000 3.524018490
90000 3.728065491
91000 3.928336415
92000 4.136014662
93000 4.326332242
94000 4.194247261
95000 3.963224220
96000 3.758103841
97000 3.549098466
98000 3.335469206
99000 3.148833471
100000 2.935049026
101000 2.722721728
102000 2.671408534
103000 2.879138183
104000 3.076326502
105000 3.249359819
106000 3.434930000
107000 3.263666224
108000 3.421044531
109000 3.604150345
110000 3.780678662
111000 3.844966441
112000 3.659861006
113000 3.460903409
114000 3.325733284
115000 3.489751757
116000 3.654769457
117000 3.804144669
118000 3.965575316
119000 4.126455899
120000 4.281961840
121000 4.444400408
122000 4.602605861
123000 4.742136502
124000 4.868513147
125000 5.010757051
126000 5.147801585
127000 5.292982891
128000 5.430996083
129000 5.310260632
130000 5.113244309
131000 5.031268691
132000 5.160435401
133000 5.010494135
134000 4.842497966
135000 4.654132325
136000 4.474549984
137000 4.323623823
138000 4.143917678
139000 3.972814835
140000 3.813774971
141000 3.805033429
142000 3.932480886
143000 4.070994742
144000 4.198685522
145000 4.329922102
146000 4.458458119
147000 4.577352239
148000 4.703845912
149000 4.822933783
150000 4.909453704
151000 4.763321601
152000 4.603610444
153000 4.473811614
154000 4.326164948
155000 4.155794862
156000 4.004836435
157000 3.871375019
158000 3.720859804
159000 3.590974008
160000 3.469202785
161000 3.349503686
162000 3.221928419
163000 3.093817104
164000 2.943209772
165000 2.824792111
166000 2.722596267
167000 2.685110973
168000 2.578527572
169000 2.507149392
170000 2.409081998
171000 2.297631642
172000 2.196026101
173000 2.091121697
174000 1.995833505
175000 1.884293315
176000 1.798999030
177000 1.690487102
178000 1.710305799
179000 1.836098034
180000 1.958732430
181000 2.079003597
182000 2.195504548
183000 2.306934256
184000 2.424068320
185000 2.537605782
186000 2.647006088
187000 2.751674327
188000 2.857261814
189000 2.969236153
190000 3.079292595
191000 3.190295716
192000 3.293439663
193000 3.395072343
194000 3.501998626
195000 3.601900334
196000 3.689742645
197000 3.789890408
198000 3.881926654
199000 3.977932459
200000 4.071916921
