#from: ~/storage/scratch/ves_deltaF/model/ves-new/deltaF.data (1-run)
#time DeltaF
0 0
1000 1.270505728
2000 1.807999610
3000 2.216470730
4000 2.557510026
5000 2.844212606
6000 3.000672600
7000 3.061382500
8000 3.064555816
9000 3.031910544
10000 2.982601804
11000 2.963635116
12000 2.958362094
13000 2.934590931
14000 2.896299747
15000 2.846913281
16000 2.788965138
17000 2.724515619
18000 2.654901157
19000 2.590273674
20000 2.543471024
21000 2.498325518
22000 2.450082907
23000 2.412210710
24000 2.374709140
25000 2.336924968
26000 2.309648098
27000 2.292135697
28000 2.283253694
29000 2.281960611
30000 2.287278831
31000 2.298445421
32000 2.314811000
33000 2.335800004
34000 2.360889474
35000 2.389550556
36000 2.416120241
37000 2.437481842
38000 2.454011083
39000 2.471096805
40000 2.491442617
41000 2.514745935
42000 2.540704928
43000 2.569048029
44000 2.599608734
45000 2.632168051
46000 2.666570079
47000 2.702626740
48000 2.740172144
49000 2.778243158
50000 2.812735092
51000 2.843536088
52000 2.870895869
53000 2.894893029
54000 2.915778112
55000 2.933825053
56000 2.948975431
57000 2.963120048
58000 2.979026231
59000 2.996615160
60000 3.015754934
61000 3.036340974
62000 3.058313334
63000 3.081563890
64000 3.106000163
65000 3.129508821
66000 3.150633360
67000 3.169390961
68000 3.185892910
69000 3.200269287
70000 3.212621723
71000 3.224144905
72000 3.236911853
73000 3.250906818
74000 3.266006118
75000 3.282193900
76000 3.298066659
77000 3.312217430
78000 3.326554950
79000 3.339826043
80000 3.351441143
81000 3.361511373
82000 3.370063323
83000 3.377133297
84000 3.382776520
85000 3.387189866
86000 3.392167627
87000 3.398236121
88000 3.405351081
89000 3.413468787
90000 3.422548668
91000 3.432531457
92000 3.443367807
93000 3.453641569
94000 3.462613695
95000 3.470357541
96000 3.477802817
97000 3.486107006
98000 3.495243636
99000 3.505171958
100000 3.514825771
101000 3.523317423
102000 3.530682245
103000 3.536978810
104000 3.542217753
105000 3.546429622
106000 3.549657849
107000 3.551942766
108000 3.553305874
109000 3.553823493
110000 3.553503743
111000 3.552607454
112000 3.552016030
113000 3.550692087
114000 3.548574555
115000 3.545691745
116000 3.542101219
117000 3.537786944
118000 3.532817344
119000 3.527206894
120000 3.520948450
121000 3.514068924
122000 3.506570952
123000 3.498481662
124000 3.489822233
125000 3.480587283
126000 3.470806090
127000 3.460492007
128000 3.449665533
129000 3.438349396
130000 3.426560299
131000 3.414333605
132000 3.401939406
133000 3.390315257
134000 3.379531360
135000 3.369567403
136000 3.360402113
137000 3.352017455
138000 3.344301263
139000 3.336348663
140000 3.327928661
141000 3.319058289
142000 3.309739644
143000 3.299985129
144000 3.290093862
145000 3.280059568
146000 3.269681417
147000 3.258927673
148000 3.247814367
149000 3.237008803
150000 3.226907263
151000 3.216884809
152000 3.206548442
153000 3.196680275
154000 3.187491972
155000 3.178962491
156000 3.171073967
157000 3.163810313
158000 3.157090632
159000 3.150175179
160000 3.142873445
161000 3.135244746
162000 3.127983925
163000 3.121318659
164000 3.115224952
165000 3.109688551
166000 3.104697863
167000 3.100243149
168000 3.096314183
169000 3.092897852
170000 3.089983020
171000 3.087554959
172000 3.085428890
173000 3.083292636
174000 3.081620405
175000 3.080410859
176000 3.079648541
177000 3.079323667
178000 3.079428940
179000 3.079953635
180000 3.080887855
181000 3.082215435
182000 3.083942470
183000 3.086058558
184000 3.088551932
185000 3.091418633
186000 3.094233107
187000 3.096634549
188000 3.098656209
189000 3.100769217
190000 3.103242275
191000 3.106070009
192000 3.109238392
193000 3.112746282
194000 3.116589378
195000 3.120754837
196000 3.125236012
197000 3.129811863
198000 3.134030943
199000 3.137890583
200000 3.141387817
